,0,1,2,3
[0 0 0 0],30.424329170543736,-8.63332531769122,-8.848503335083711,207.4594499598996
[1 0 0 0],13.133820064845581,-7.824530192586539,-8.147657999556985,219.4309999577892
[2 0 0 0],45.03083716594999,-6.637000670551077,38.06346583892544,232.03263153451508
[2 1 0 0],-7.341418625052729,-7.233235172837584,-7.311248345968375,5.551110291393414
[1 1 0 0],-7.773274391230568,-7.682735460050785,-7.71188773587378,-5.024340164280529
[1 2 0 0],-7.41598669112207,-6.984753691231642,-7.297411963959005,-7.210819607002392
[2 2 0 0],-6.937175851659914,-6.924236329286225,-6.917807649803077,-6.836240339287192
[3 2 0 0],-6.385267624057466,-5.287603943633655,-6.414393865566662,-6.385763467570911
[4 2 0 0],-5.309947238119912,-5.964533219263364,-5.999365347241731,244.3914084413991
[4 1 0 0],-6.344774170537424,134.43636987201992,-6.337439712860881,-6.262377293964947
[3 1 0 0],-6.781075457285647,-6.732554529377365,-6.764064285003472,45.29101007505671
[3 0 0 0],36.29484048365509,-0.5372735727589548,-7.1396716669689,245.29750687843705
[0 2 0 0],-7.652255994040907,-7.546808240993499,-7.870332423082569,-7.585102084045128
[0 1 0 0],-8.214173156523264,-8.116542013046223,-8.230640495658703,-7.743472955205726
[0 3 0 0],-7.058075561725924,-6.484298138240429,-7.156183154484913,-7.050428675700658
[0 4 0 0],-6.579972997363755,-6.5178666240943794,-6.516519643417427,-2.690882846780664
[0 5 0 0],-6.083378154775929,-5.626462306454322,-5.989331317089204,-5.998387751291178
[1 3 0 0],-6.781700223832038,-4.652674912765871,-6.79561797757458,-6.93825468875347
[2 3 0 0],-5.431202784810664,-5.485788916029199,-5.427597990573208,-5.463498940065535
[2 4 0 0],-6.159409824943736,-5.705811515334871,-5.922868540179965,-3.656596797089021
[2 5 0 0],-5.4855360504762904,2.563631433249725,-5.553670584180552,-5.472691385664589
[2 6 0 0],-5.0531452247554105,125.92360833456776,-5.073686131824546,-5.058143851474824
[3 6 0 0],-4.8247722526756665,3.6942136670960495,-4.819873590599307,-4.75365761564227
[4 6 0 0],-4.572531427701467,-4.501297716433831,-4.575969967823508,218.7367166243399
[4 5 0 0],-4.867300563080748,67.40752308942778,-4.907422737900082,-4.888565973117536
[5 5 0 0],83.97343467156921,359.8988087309933,8.641708472172798,25.279603039929704
[5 4 0 0],102.44098237135452,340.90386829444344,10.36338255298551,23.461665426006256
[4 4 0 0],-5.3633803916582385,-4.67359717830609,-5.228890979148738,174.02792305715184
[5 6 0 0],35.111317793750224,379.8934828747301,12.01151482966506,98.7695019983389
[5 7 0 0],65.21398553734073,400.9405082891899,88.89162373049386,137.43524674078063
[4 7 0 0],-4.196674313696631,3.583983431868055,-4.122496555060016,355.73124225514636
[3 7 0 0],-4.399056027350526,-4.358225173036688,1.6416278929413681,275.50918985820766
[3 8 0 0],-4.078046532469674,-7.977471699339513,-4.083606741067116,-3.4705429107403933
[2 8 0 0],-4.388457977051103,-4.395204439116519,-4.485803431910634,-4.342979022869251
[2 9 0 0],-4.183002357542629,-4.0893398723200605,-4.172546909966462,-4.742009567859156
[ 2 10  0  0],-3.71941004869956,-2.798480506208566,-3.7388393703875122,-7.64033397875388
[ 2 11  0  0],-3.3659163941076127,3.920279153163536,-3.2455928325734367,-6.542162658083901
[ 1 11  0  0],-3.4009025954896646,-2.726462076280207,-3.3594027604571504,-3.345465188227694
[ 1 10  0  0],-3.81657941886525,-3.8043539365708443,-3.9082377070819847,-3.7993178530471683
[1 9 0 0],-4.270851323256492,-4.250230366988128,-4.331160302995459,-4.258845182575032
[ 0 10  0  0],-4.019778099462672,-3.957684782857302,-4.078942745536225,-3.9281584887845566
[0 9 0 0],-4.395345724865556,-4.355901334064783,-4.493669202790569,-4.369454323875994
[ 0 11  0  0],-3.5476654808323,-3.47675189967538,-3.5813509678596365,-3.4729331535638948
[ 0 12  0  0],-3.0459916946845755,-2.2687106072823333,-2.959767154925115,-2.9550409095259145
[ 0 13  0  0],-2.5848790208565586,-2.5905066168479047,-2.623862197793637,6.127724478245877
[ 1 13  0  0],-2.462030803048892,-2.387980555331954,-2.39418097689852,48.57531079075558
[ 1 12  0  0],-2.8552772305796763,4.402496687467838,-2.8588879423010654,-2.87000280801693
[0 8 0 0],-4.771130061196063,-4.710765638202045,-4.7199070965002425,-4.772197531584718
[0 7 0 0],-5.089870826646696,-5.11998906248146,-5.190549552274782,-5.085277487625015
[1 7 0 0],-5.075732564008108,-4.925559962104575,-4.932570418257538,6.341448566142528
[1 6 0 0],-3.082203256517255,-5.207491639957695,-5.334581931917381,70.03056527546771
[1 5 0 0],-5.839195984233427,32.34762460924905,-5.811454345271637,-5.564289334984232
[1 4 0 0],-6.530399344575522,9.417133854851546,-6.274757975229507,-6.249122546735526
[3 3 0 0],-5.957654158228198,0.6116295401517948,-5.921493294151797,-5.917571031826447
[5 2 0 0],70.57729986701693,305.7157411357347,52.955511856363174,-3.6255584453753236
[5 3 0 0],96.03659400064656,322.858674879721,-0.19271251067318707,-4.810394439433797
[6 2 0 0],-5.183799132899904,24.950559128394044,-5.253205738408957,-5.172340078997714
[7 2 0 0],-4.842957332109794,-4.769822424854528,-4.865911934455202,-4.761326994497562
[7 3 0 0],-4.464012679018504,-4.466911093295915,-4.504501849541151,-4.439338836734796
[5 1 0 0],-5.635033387808221,289.4299540789476,6.415714747556182,-5.825917734538861
[6 1 0 0],-5.400133691564955,-3.4366519139810494,-5.448821753105893,-5.409918781897771
[7 1 0 0],-4.996785895515233,-5.054183793835271,-4.977014696069295,-4.97906345914992
[7 0 0 0],-5.312969931780059,-5.101378898960919,-5.110071148128322,-5.10596316544431
[6 0 0 0],-5.689009612539887,-5.564141173356858,66.22607520089637,-5.534830999206065
[8 1 0 0],-4.52991418038054,-4.582093554002171,-4.6203918603897876,-4.526402686209701
[8 0 0 0],-4.639760180016831,-4.663691770437998,-4.68765269779519,-4.6462945568211405
[5 0 0 0],12.872376341377972,273.95845637499997,-6.143980763279846,0.990430247608368
[4 3 0 0],-5.626238412586504,34.025688628237106,-5.6784016003126645,-5.572020036119604
[3 4 0 0],-5.616912725965985,-5.532695459149311,-5.649534059359812,21.822023813304714
[3 5 0 0],-5.166723177262471,-4.524333340203219,-5.276290853338675,-5.1599934182291705
[0 6 0 0],-5.5711227654039766,-5.510965561674553,-5.493791253163947,0.21774015846565709
[2 7 0 0],-4.7713602135477045,-4.670409895297628,-4.359519034343328,196.78534224489474
[4 8 0 0],-3.858551144131932,-3.6215891593077427,-3.666275047037613,207.52849704312123
[5 8 0 0],126.49045656503382,423.0952718833581,53.537041588918676,149.87656162269974
[4 9 0 0],-3.061275534210293,104.66318859383135,-7.7889680506334935,-3.0509800199223402
[6 3 0 0],-4.999101702905121,-5.581711901744868,132.9335137205266,-4.911268489808696
[9 0 0 0],-4.339279252567308,-4.233814689263759,-4.2229064093325075,-4.1883027328645825
[8 2 0 0],-4.358850861919093,-3.935359305902213,-4.4247666336665805,-4.285902830683433
[8 3 0 0],-4.096947113375836,-4.0112946524285285,-4.091782083450658,-0.16431567493605792
[7 4 0 0],-4.03191772653786,-3.985905407156889,-7.4401330572089055,-4.00433507118049
[7 5 0 0],-3.6302657906048634,-3.572082497001579,-7.803051845318759,-3.552160924587736
[7 6 0 0],-3.24924864242051,-3.1022771500364623,-5.450237659359359,-3.183921402441927
[8 6 0 0],-2.9724693256587416,-2.6056092513697378,-3.049090633984222,-2.980465646737662
[9 6 0 0],-2.923230362649498,-2.879430938974918,-2.953069959970518,-2.8666467127729773
[9 7 0 0],-2.588066729123798,-2.594852247561623,-2.6402189013418087,-2.614048710986353
[10  7  0  0],-2.555543401157324,-2.592960737109863,-2.5520338923621906,-2.575364379399341
[10  8  0  0],-2.361353579684224,-2.3603467778308502,-2.347577181095817,-2.3018768608370186
[9 8 0 0],-2.382871217455867,-7.792914287068698,-2.053428940853986,-2.3284190578406623
[10  6  0  0],-2.794530625463496,-2.8152396988618205,-2.8013850871878176,-2.7678778358627123
[11  6  0  0],-2.760433766248673,-2.6729374471612637,-2.70774343876734,-4.7146692050539505
[11  5  0  0],-2.9045113265642595,-2.8634082519855872,-2.9104677615872343,-4.583986169120879
[11  4  0  0],6.1279613312726315,-2.882701200823339,-2.972919664661882,-3.729941164784098
[10  4  0  0],-3.203750937164103,-3.1649747519510654,-3.107830966862119,-3.1118658715582534
[10  3  0  0],-3.27791614786774,-3.1334453351413214,-3.212175045059503,40.448282974890105
[10  2  0  0],-3.4456247708364653,-1.67348279506857,-3.490206879103728,-3.374963557976308
[11  2  0  0],-2.928138770560847,7.577915899339359,-3.058571685574242,-2.8841170913336
[11  3  0  0],-2.1698532669708905,-2.5935384575062965,0.21392672420847747,73.56341802745578
[12  2  0  0],-2.479308805825092,19.506565592240147,-2.450945822136042,-2.374272691478475
[11  1  0  0],-3.1743719431413457,-2.5213920959996656,-3.3287511014272866,-3.1049384282285257
[10  1  0  0],-3.660340480495881,-3.6086633852120857,-3.6674556523017245,-3.584336430297799
[9 1 0 0],-4.069316809691172,-3.893846419688097,-4.052331978167408,-4.077320539848817
[9 2 0 0],-3.9036878023980597,-0.8824698869623699,-3.8339955186955756,-3.8135381715717642
[9 3 0 0],-3.6826800872750827,-3.6798775082937683,-3.7299142910437686,14.761463847364684
[8 4 0 0],-3.748114671053007,-3.716632431739652,-3.75044905855502,-3.7598317998314705
[9 4 0 0],-1.9746060457954306,-3.4260652200201283,-3.476965019783313,-3.4462646934281045
[9 5 0 0],-3.252137778313246,-3.1719632614071256,-3.1488859833101284,-3.1882738084263327
[10  5  0  0],-3.0547591424852203,-3.006258619827021,-2.9822723457778832,-3.0507315955252974
[4 0 0 0],75.44776497068365,4.099281738669184,72.89414487034867,259.2605335562497
[10  0  0  0],-3.879704378005228,-3.778931758422351,-3.7364273934189907,-3.761498224360298
[11  0  0  0],-3.4187709282469667,-3.297011636788809,-3.3370276144197324,-3.3211930276279973
[12  1  0  0],-2.7536959996639987,-1.7542473078950978,-2.7192072732453725,-2.6291354894019445
[13  2  0  0],-1.9801585227566902,21.05804869290558,-1.9838534738945033,-1.7748083380716675
[14  2  0  0],-1.6106825436626657,-1.4678619500628836,-1.5636949707441612,17.893923984457807
[14  3  0  0],0.48911080271494767,-0.20131403187622743,0.6047311378913955,212.36570690954966
[12  3  0  0],-0.9717655672552132,-6.856848121670392,4.942157088737561,114.5519290094982
[12  0  0  0],-2.995624914833609,-2.856125993391735,-2.8509928887079576,-2.8831654070446895
