,0,1,2,3
[0 0],-1.4119033258695066,5.9848976798569025,-1.7050586679611723,-1.2893279349256566
[0 1],-0.8958502663344843,18.659377767284273,-1.305527280075,-0.845514495506837
[0 2],0.04180399165834492,40.06555390185262,-0.8653274666812502,-0.485709025
[1 1],-0.8633486925578107,-0.8456333047600001,-0.9060964923667308,-1.6955861314567766
[1 2],-0.6546008673455791,-0.6181878550000001,-0.5817921860761938,-0.5985
[1 3],-0.423375833875,-0.35340000000000005,1.1700587449,-0.58805
[0 3],-0.37830175813563127,70.10644855162562,0.4071360099500001,-0.31298037797750006
[1 0],-1.5180308495000001,-1.1021723797040972,-0.949694473606876,-0.9281779299384512
[2 0],-0.8130000000000001,-0.8955075000000001,-0.8108068648086304,-0.725526566725
[3 0],-0.5974597500000001,-0.58695385,-0.5167812214875,-0.5485114750000001
[3 1],-0.446332,-0.5300180625,-0.5700000000000001,-0.46693275
[4 0],-0.8130000000000001,-0.38589,-0.5220425587499999,-0.6078500500000001
[5 0],-0.58805,-0.44551975000000005,-0.5097795,-0.459195
[5 1],-0.48168625,-0.3876904875,-0.38859537686875,-0.30813922875
[4 1],-0.38929463612500004,-0.39617738612500003,-0.46726712625,-0.37135975000000004
[6 0],-0.5985,-0.3628525,-0.43774195,-0.5985
[6 1],-0.32644532500000006,-0.2985025,-0.28905000000000003,-0.5908942287500001
[6 2],-0.2090382375,-0.28905000000000003,-0.29931475,-0.30000000000000004
[5 2],-0.39607352500000004,-0.2814025,-0.29674500000000004,-0.2976
[5 3],-0.307822,-0.30000000000000004,-0.28905000000000003,-0.2976
[4 3],-0.2805,-0.2814025,-0.2985025,-0.3061975
[3 3],-0.40922817025,-0.3543025,-1.0592025,-0.29931475
[4 2],-0.40222525,-0.3714025,-0.4069287475,-0.2899525
[3 2],-0.4308637125,-0.47248645,-0.5985,-0.47476075000000006
[0 4],6.200645919201458,92.82102012308148,1.5050000000000001,-0.1
[1 4],-0.22625024368750002,-0.19,-0.19,-0.1995
[1 5],-0.1,-0.09500000000000006,23.05,0.0
[6 3],-0.1995,-0.2805,-0.305295,-0.2805
[7 3],-0.30000000000000004,-0.2805,-0.20804999999999998,-0.28905000000000003
[6 4],-0.2899525,-0.1995,-0.30000000000000004,-0.2985882375
[6 5],-0.1995,-0.30000000000000004,-0.2004025,-0.20805
[7 4],-0.2805,-0.28905000000000003,-0.2985025,-0.30012700000000003
[8 3],-0.2805,-0.28905000000000003,-0.20804999999999998,-0.30000000000000004
[8 2],-0.19,-0.1995,-0.30000000000000004,-0.5795000000000001
[8 4],-0.305295,-0.271,-0.28905000000000003,-0.30000000000000004
[8 5],-0.2899525,-0.30000000000000004,-0.1995,-0.30000000000000004
[7 5],-0.3061975,-0.30000000000000004,-0.19,-0.19
[8 1],-6.666666666666667,-0.1,-0.30000000000000004,-0.30000000000000004
[5 5],-0.30000000000000004,-0.30000000000000004,-0.1995,-0.20895249999999999
[4 5],-0.19,-0.30000000000000004,-0.1,-0.1995
[4 4],-0.21660000000000001,-0.19,-0.28905000000000003,-0.30000000000000004
[3 5],-0.1095,-0.30000000000000004,-0.064375,-0.1095
[3 4],-0.2899525,-0.19,-0.2976,-0.21660000000000001
[2 4],-0.30000000000000004,-0.235375,-0.1995,-0.2004025
[2 5],-0.1995,-0.26437499999999997,1.615,0.0
[8 0],0.0,0.0,0.0,0.0
