,0,1,2,3
[19 15],-0.52688425,-0.459926025,-0.5672429385,-0.5795000000000001
[18 15],-0.387523525,-0.46954142625,-0.34390000000000004,-0.41163048750000003
[19 14],-0.38161592625000007,-0.48257566375000005,-0.2976,-1.0412000000000001
[19 13],-0.48484996375,-0.30700974999999997,-0.46180773750000004,-0.5974597500000001
[18 13],-0.38161998750000004,-0.2985025,-0.2985025,-0.47801020125000004
[19 12],-0.5771453849456251,-0.378195,-0.38235101250000003,-0.59762265125
[19 16],-0.42203457756250007,-0.35340000000000005,-0.39627490125,-0.58805
[18 16],-0.46191907750000005,-0.4574267175,-0.51867697,-0.29931475
[18 17],-0.40620572625,-0.4370125,-0.36195000000000005,-0.4155557925
[17 17],-0.39607352500000004,-0.38760475,-0.42756000000000005,-0.29085048750000003
[17 16],-0.41901000000000005,-0.4584255,-0.4739485,-0.47573590125
[17 18],-0.31470475,-0.271,-0.271,-0.2899525
[16 18],-0.1995,-0.38588999999999996,-0.1,-0.1995
[16 19],-0.271,-0.8225000000000001,-0.3628525,-0.271
[15 19],-0.2976,-0.5700000000000001,-0.28905000000000003,-0.29674500000000004
[15 18],-0.19,-0.19,-0.2805,-0.1995
[15 17],-0.19,-0.2805,-0.271,-0.1
[14 18],-0.1,-0.1,-0.271,-0.20805
[14 17],-0.1,-0.19,-0.1,-0.1095
[14 16],-0.2985025,-0.1,0.0,-0.37050000000000005
[15 16],-0.2175025,-0.43525500000000006,-0.271,-0.3944875
[16 16],-0.35340000000000005,-0.36195000000000005,-0.42756000000000005,-0.3714025
[16 15],-0.4661205,-0.20804999999999998,-0.28905000000000003,-0.3061975
[16 17],-0.52370745,-0.1095,-0.1,-0.41835055
[18 18],-0.42927475000000004,-0.28221475,-0.28905000000000003,-0.29931475
[19 18],-0.40931365124999997,-0.315014262375,-0.34390000000000004,-0.5795000000000001
[17 19],-0.28905000000000003,-0.30000000000000004,-0.2976,-0.271
[17 15],-0.20895249999999999,-0.6318015877500001,-0.28905000000000003,-0.37918323750000005
[18 14],-0.2985025,-0.1995,-0.37909750000000003,-0.3138925
[19 17],-0.42166538737500003,-0.39921120756250006,-0.38258250375,-0.8310500000000002
[18 19],-0.2251975,-0.5897647500000001,-0.3061975,-0.44487040125000005
[19 19],-0.369645,-0.5700000000000001,-0.3828419725,-0.5700000000000001
[17 14],-0.37819500000000006,-0.35340000000000005,-0.2805,-0.1995
[18 12],-0.2976,-0.2175025,-0.6900891295,-0.378195
[18 11],-0.36195000000000005,-0.37392498750000003,-0.378195,-0.41314670186874997
[18 10],-0.38588999999999996,-0.39529975,-0.305295,-0.36293823750000004
[18  9],-0.2805,-0.2805,-0.2899525,-0.29845975
[18  8],-0.1995,-0.19,-0.3061975,-0.2976
[19  8],-0.2805,-0.271,-0.28905000000000003,-1.2612005000000002
[19  7],-0.19,-0.20804999999999998,-0.19,-0.30000000000000004
[18  7],-0.19,-0.1995,-0.2004025,-0.19
[18  6],-0.19,-0.2805,-0.2805,-0.19
[17  7],-0.1995,-0.29841225,-0.2805,-0.1095
[19  9],-0.378195,-0.3997367725,-0.2976,-0.5889525
[17  8],-0.35340000000000005,-0.2805,-0.1995,-0.20805
[16  8],-0.19,-0.1,-0.19,-0.19
[16  9],-0.1995,-0.40449955000000004,-0.30000000000000004,-0.29931475
[17  9],-0.28905000000000003,-0.46783525000000004,-0.29674500000000004,-0.2976
[17 10],-0.45321475,-0.3714025,-0.3122205,-0.44551975
[17 11],-0.3975436975,-0.30855302500000004,-0.47016087375000004,-0.3825101975934375
[17 12],-0.4030420125,-0.4005105,-0.577450662375,-0.43953498750000003
[19 11],-0.49046823525000005,-0.49264538350000003,-0.46872917625,-1.0781555460125
[16 10],-0.43525500000000006,-0.5061120250000001,-1.0744210250000001,-0.4800912
[16 11],-0.76270372555,-0.315517,-0.5985,-0.401413
[16  7],-0.1995,-0.1095,-0.28905000000000003,-0.19
[15  7],-0.271,-0.1,-0.1,-0.20805
[15  8],-0.1,-0.30000000000000004,-0.19,-0.19
[16 12],-0.46349327500000004,-0.39757405,-1.3315957565,-0.47092180000000006
[16 13],-0.46872466375000005,-0.3928155,-0.5975454875,-0.37990975
[17 13],-0.2985025,-0.271,-0.40540568256250004,-0.4833152625
[16 14],-0.4679209875,-0.271,-0.44841345000000005,-0.38588999999999996
[15 15],-0.28905000000000003,-0.2976,-0.34390000000000004,-0.2805
[15 14],-0.30000000000000004,-0.36195,-0.1995,-0.4584255
[14 14],-0.19,-0.21660000000000001,-0.1,-0.2805
[14 15],-0.1995,-0.271,-0.28905000000000003,-0.40145575
[13 14],-0.1995,-0.2805,-0.28905000000000003,-0.19
[14 13],-0.30700975,-0.19,-0.2805,-0.58805
[19 10],-0.47696194750000004,-0.46937852500000005,-0.3301375,-1.0412000000000001
[14 19],-0.1995,-0.30000000000000004,-0.19,-0.3138925
[13 19],-0.19,-0.5700000000000001,-0.19,-0.2805
[12 19],-0.19,0.0,-0.19,-0.1995
[13 18],0.0,-0.28905000000000003,-0.19,0.0
[12 18],0.0,-0.19,-0.19,0.0
[11 18],-0.19,-0.1,-0.1995,0.0
[10 18],-0.1,-0.1995,-0.1,-0.1
[10 17],-0.271,0.0,-0.19,-0.1
[10 16],-0.1,-0.1,0.0,-0.19
[10 15],-0.1995,0.0,-0.1,-0.19
[11 15],-0.1995,-0.19,-0.19,-0.2805
[12 15],-0.2899525,-0.19,-0.2805,-0.19
[13 15],-0.369645,-0.1,-0.19,-0.28905000000000003
[11 14],-0.19,-0.1995,-0.1995,-0.1
[11 13],-0.271,-0.19,-0.1995,-0.21660000000000001
[12 14],-0.1995,-0.20804999999999998,-0.20805,-0.2805
[12 13],-0.2985025,-0.1995,-0.1995,-0.2805
[12 12],-0.36195,-0.2805,-0.271,-0.28905000000000003
[10 14],-0.2899525,-0.19,-0.19,-0.1
[10 13],-0.2805,-0.1995,-0.8130000000000001,-0.2899525
[ 9 14],-0.30000000000000004,-0.1,0.0,-0.1995
[ 9 15],0.0,-0.19,-0.1,0.0
[ 9 16],-0.1,-0.19,-0.19,-0.1
[ 9 17],-0.2805,-0.1,-0.1,-0.19
[ 8 17],-0.19,-0.1995,-0.19,-0.1995
[ 8 15],-0.1,-0.1,0.0,0.0
[ 8 14],-0.1,0.0,-0.1995,-0.1
[ 8 13],0.0,-0.1,-0.19,-0.5700000000000001
[11 16],-0.20805,-0.20805,0.0,-0.1995
[12 16],-0.29674500000000004,-0.1,-0.1,-0.19
[12 17],-0.1995,0.0,-0.1,0.0
[11 17],-0.1,-0.1,-0.19,-0.19
[10 12],-0.35340000000000005,-0.28905000000000003,-0.58805,-0.271
[10 11],-0.271,-0.40132275,-0.30000000000000004,-0.1
[10 10],-0.8225000000000001,-0.20805,-1.4563072500000003,-0.1995
[11 10],-0.1995,-0.1,-0.20895249999999999,-0.19
[11 11],-0.1,-0.1995,-0.20805,-0.1995
[11 12],-0.1995,-0.2004025,-0.2976,-0.35340000000000005
[12 11],-0.1995,-0.4005105,-0.2805,-0.1995
[13 11],-0.35340000000000005,-0.28905000000000003,-0.2976,-0.215745
[13 10],-0.1,-0.1995,-0.1,-0.19
[12 10],-0.1995,-0.19,-0.19,-0.1
[14 10],-0.1,-0.4584255,-0.1095,0.0
[14  9],0.0,-0.19,0.0,-0.30000000000000004
[14 11],-0.271,-0.2985025,-0.3628525,-0.8549899999999999
[13 12],-0.3714025,-0.20804999999999998,-0.1995,-0.388417
[13 16],-0.1995,0.0,-0.1,-0.1
[13 13],-0.1995,-0.20805,-0.2976,-0.28905000000000003
[19  6],-0.1,-0.1095,-0.2805,-0.30000000000000004
[17  6],-0.19,-0.1095,-0.2805,-0.2976
[17  5],-0.19,-0.20805,-0.1,-0.1095
[16  5],-0.19,-0.1,-0.1,0.0
[16  6],-0.19,-0.1,-0.1,-0.1995
