,0,1,2,3
[0 0],0.0,-0.1,-0.30000000000000004,-0.1
[0 1],-0.1,-0.1,-0.8130000000000001,-0.1
[0 2],-0.1,-0.1,-0.8130000000000001,-0.1
[0 3],-0.19,0.0,-0.5700000000000001,-0.1
[1 2],0.0,-0.1,0.0,0.0
[1 3],0.0,-0.1,-0.1,0.0
[1 4],0.0,0.0,-0.271,0.0
[0 4],-0.1,-0.1,0.0,-0.1
[0 5],0.0,0.0,0.0,-0.1
[1 5],0.0,0.0,0.0,-0.1
[2 5],-0.1,0.0,0.0,0.0
[2 4],0.0,0.0,-0.1,0.0
[1 0],0.0,-0.1,0.0,0.0
[1 1],0.0,0.0,-0.1,-0.1
[2 1],-0.1,0.0,0.0,0.0
[2 0],0.0,0.0,0.0,-0.19
[3 0],-0.8130000000000001,0.0,-0.1,-0.1
[4 0],0.0,-0.1,0.0,0.0
[4 1],0.0,0.0,0.0,-0.1
[5 1],0.0,0.0,0.0,-0.1
[6 1],-0.1,0.0,0.0,-0.1
[7 1],-0.1,0.0,0.0,0.0
[7 0],-0.30000000000000004,0.0,-0.19,-0.19
[8 0],0.0,0.0,-0.1,-0.1
[6 0],-0.5700000000000001,-0.1,0.0,-0.19
[9 0],-0.5700000000000001,-0.19,0.0,-0.1
[9 1],-0.1,-0.1,-0.1,0.0
[10  0],-0.30000000000000004,-0.1,-0.1,-0.1
[10  1],-0.1,0.0,0.0,-0.20805
[11  0],-0.30000000000000004,-0.19,-0.1,-0.19
[11  1],-0.271,-0.19,-0.19,-0.1995
[12  0],-0.30000000000000004,-0.1095,-0.1,-0.2805
[13  0],-0.8310500000000002,-0.2805,-0.19,-0.271
[14  0],-0.30000000000000004,-0.1,-0.20805,-0.19
[14  1],-0.1,-0.1,-0.2976,-0.1
[14  2],-0.19,-0.1,-0.1,-0.1
[13  1],-0.2805,-0.1995,-0.1995,-0.1995
[13  2],-0.1,-0.19,-0.19,-0.1
[13  3],-0.1,-0.1,-0.1,-0.1
[12  3],-0.19,0.0,0.0,-0.1
[12  2],-0.2805,-0.1,-0.1,-0.1995
[12  1],-0.1,-0.1995,-0.28905000000000003,-0.1995
[8 1],0.0,0.0,0.0,-0.1
[9 2],0.0,0.0,0.0,-0.1
[10  2],0.0,0.0,0.0,-0.1
[11  2],-0.19,-0.1,0.0,-0.1095
[11  3],0.0,-0.1,-0.1,-0.1
[10  3],0.0,-0.1995,0.0,-0.1
[10  4],-0.1,-0.1,-0.19,-0.19
[11  4],-0.1,-0.19,-0.19,-0.30000000000000004
[9 4],-0.19,-0.1,-0.1,-0.1995
[10  5],0.0,-0.1,-0.1,-0.1
[10  6],-0.1,-0.1995,-0.1,-0.19
[11  6],0.0,-0.19,-0.20805,0.0
[11  7],-0.1,-0.28905000000000003,-0.1,-1.0317
[10  7],-0.19,-0.1,-0.28905000000000003,-0.1995
[9 7],-0.271,-0.28905000000000003,-0.19,-0.1995
[8 7],-0.271,-100.0,-0.1995,-0.1095
[8 6],-0.1,-0.19,-0.1,-0.1095
[8 5],-0.1,-0.1,0.0,-0.1
[9 5],-0.19,-0.1,-0.1,-0.1
[11  5],-0.1995,-0.1,0.0,-0.30000000000000004
[15  0],-0.30000000000000004,0.0,-0.1,-0.1
[16  0],-0.30000000000000004,-0.1,0.0,-0.1
[17  0],0.0,0.0,-0.1,0.0
[16  1],0.0,0.0,-0.1,0.0
[15  1],0.0,-0.1,-0.1095,0.0
[15  2],0.0,-0.1,-0.1,0.0
[15  3],0.0,-0.1,0.0,0.0
[15  4],0.0,0.0,-0.1,0.0
[14  4],-0.1,-0.1,0.0,0.0
[14  3],-0.1995,0.0,-0.1,0.0
[13  4],0.0,-0.1,0.0,0.0
[13  5],0.0,0.0,0.0,-0.1
[14  5],-0.1,-0.1,0.0,0.0
[14  6],0.0,-0.1,0.0,0.0
[14  7],0.0,-0.1,0.0,-0.1
[14  8],-0.1,-0.1,-0.1,0.0
[15  7],0.0,-0.1,0.0,0.0
[15  8],0.0,0.0,-0.1,0.0
[13  8],0.0,-0.1,0.0,-0.1
[13  9],-0.1,0.0,-0.19,0.0
[12  9],-0.30000000000000004,-0.1,0.0,-0.1
[14  9],0.0,-0.1,0.0,0.0
[14 10],0.0,-0.1,-0.1,0.0
[14 11],-0.1,0.0,0.0,-0.30000000000000004
[13 10],-0.1,0.0,-0.1,0.0
[12 10],0.0,0.0,-0.19,-0.1
[11 10],-0.1,0.0,-0.1,-0.1
[10 10],-0.30000000000000004,-0.1,-0.30000000000000004,-0.1
[10  9],-0.1995,-0.1,-0.30000000000000004,0.0
[10 11],-0.1,0.0,0.0,0.0
[11  9],-0.1,0.0,-0.30000000000000004,0.0
[11  8],-0.1095,-0.1,-0.2805,-0.30000000000000004
[10  8],-0.2805,-0.30000000000000004,-0.1995,-0.1
[9 6],-0.19,-0.19,-0.1,-0.1
[9 8],-0.35340000000000005,-0.30000000000000004,-100.0,-0.1
[8 8],-0.1995,-0.1,-0.1,-0.1
[8 4],0.0,-0.1,-0.1,-0.1
[7 4],0.0,0.0,-0.30000000000000004,-0.1
[9 3],0.0,-0.1,0.0,-0.1
[7 8],-0.1,-0.271,-0.8225000000000001,-190.0
[7 6],60.0,-0.2805,0.0,0.0
[7 7],-0.271,-0.1995,-0.30000000000000004,-0.1
[7 9],-0.2805,-0.1,0.0,-0.19
[8 9],-100.0095,0.0,-0.19,0.0
[ 7 10],0.0,0.0,-0.1,0.0
[ 6 10],-0.19,0.0,0.0,0.0
[6 9],0.0,-0.1,0.0,-0.1
