,0,1,2,3
[7 5],-0.19,-0.1095,-0.30000000000000004,-0.1
[7 4],-0.19,-0.1,-0.8225000000000001,-0.19
[8 4],-0.1,-0.19,-0.1995,-0.1995
[7 3],-0.1,-0.1095,-0.1,-0.19
[6 3],0.0,0.0,0.0,-0.1
[7 2],0.0,-0.1,0.0,0.0
[8 3],-0.1,-0.19,-0.1095,-0.1
[8 5],-0.19,-0.1,-0.1,-0.1
[8 6],-0.1,-0.1,-0.1,-0.1
[8 7],-0.1,-100.0,-0.19,-0.1
[8 8],-0.1,-0.19,-0.1,-0.1
[8 9],-100.0,-0.40951000000000004,-0.378195,-0.8405025000000002
[7 8],-0.1,-0.2976,-0.30000000000000004,-190.0095
[7 9],-0.28905000000000003,-0.271,-0.37050000000000005,-0.326841
[6 9],-0.8472949999999999,-0.1995,-0.271,-0.300045775
[ 7 10],-0.305295,0.0,-0.1,-0.19
[9 8],-0.1,0.0,-100.0,0.0
[9 7],-0.1095,-0.1,-0.1995,-0.1
[10  7],-0.1,0.0,0.0,0.0
[10  6],0.0,0.0,-0.19,-0.1
[9 6],-0.1995,-0.2805,-0.1,-0.1
[7 7],-0.19,-0.1995,-0.30000000000000004,-0.1
[7 6],-0.1,-0.1995,-0.30000000000000004,-0.1
[11  6],-0.1,0.0,-0.1,-0.30000000000000004
[9 5],-0.1,-0.28905000000000003,-0.1,-0.1
[8 2],-0.1,-0.1,0.0,0.0
[8 1],0.0,-0.1,-0.1,-0.1095
[9 3],-0.1,-0.1,-0.1095,-0.1
[9 2],-0.19,-0.1,0.0,0.0
[9 1],-0.1,-0.1,-0.1,-0.19
[10  3],-0.271,-0.1,-0.1,-0.1095
[10  2],-0.1,-0.1,-0.1,-0.19
[11  2],-0.1,-0.1995,-0.1,-0.2805
[11  1],0.0,-0.19,-0.1,-0.1095
[12  2],-0.19,-0.271,-0.1,-0.1
[12  1],-0.1,-0.19,-0.1,-0.19
[13  1],-0.1,-0.1,-0.1095,-0.19
[14  1],0.0,0.0,-0.19,0.0
[13  0],0.0,0.0,-0.1,0.0
[12  0],-0.30000000000000004,-0.19,-0.1,0.0
[11  0],-0.30000000000000004,0.0,0.0,-0.1
[12  3],-0.1995,-0.5795000000000001,-0.2805,-0.19
[10  1],0.0,-0.1095,-0.1,-0.19
[13  2],-0.1,-0.19,0.0,0.0
[13  3],-0.1,-0.1,-0.2976,0.0
[13  4],-0.1,0.0,0.0,0.0
[11  3],-0.1995,-0.19,-0.19,-0.1095
[9 4],-0.1,-0.1,-0.1095,-0.19
[10  4],-0.19,-0.19,-0.1,-0.1
[9 0],-0.5700000000000001,-0.1,0.0,0.0
[7 1],0.0,0.0,0.0,-0.1
[11  4],-0.1,-0.19,-0.1095,0.0
[10  5],-0.1995,0.0,-0.1995,0.0
[11  5],-0.1,-0.1,-0.1,0.0
[ 8 10],-0.48180595000000004,-0.1,-0.1,-0.30000000000000004
