,0,1,2,3
[ 2 17],-0.19,-0.1,0.0,-0.1
[ 2 18],-0.1,0.0,0.0,0.0
[ 2 16],-0.19,-0.1,-0.1,-0.1
[ 2 15],-0.1,-0.271,-0.1,0.0
[ 1 15],-0.1,0.0,0.0,-0.1
[ 1 14],0.0,0.0,0.0,-0.19
[ 2 14],-0.1,-0.19,0.0,0.0
[ 2 13],-0.1,0.0,-0.1,0.0
[ 2 12],-0.19,-0.1,0.0,-0.30000000000000004
[ 2 11],0.0,-0.1,-0.1,0.0
[ 1 11],0.0,-0.1,0.0,0.0
[ 1 12],0.0,0.0,0.0,-0.1
[ 1 13],0.0,-0.1,0.0,0.0
[ 1 16],-0.1,0.0,-0.1,0.0
[ 0 16],0.0,0.0,0.0,-0.1
[ 3 17],-0.271,0.0,-0.1,-0.1
[ 3 16],-0.1,-0.271,0.0,-0.1
[ 3 15],-0.19,-0.1,0.0,-0.1
[ 3 14],0.0,-0.19,0.0,-0.1
[ 4 14],0.0,-0.1,-0.1,-0.1
[ 4 15],-0.19,-0.1,-0.1,0.0
[ 4 16],-0.1,-0.1,0.0,-0.1
[ 5 16],0.0,-0.1,0.0,0.0
[ 5 17],0.0,-0.1,0.0,-0.1
[ 5 18],-0.1,0.0,0.0,0.0
[ 6 17],-0.1,-0.1,0.0,-0.1
[ 6 18],-0.1,0.0,0.0,-0.1
[ 7 18],0.0,0.0,-0.1,0.0
[ 6 16],0.0,-0.1,0.0,0.0
[ 7 17],0.0,0.0,0.0,-0.1
[ 8 17],-0.1,0.0,0.0,-0.1
[ 9 17],0.0,0.0,-0.1,0.0
[ 8 16],-0.1,0.0,0.0,0.0
[ 8 15],-0.19,0.0,0.0,-0.1
[ 8 14],-0.1,-0.1,-0.1,0.0
[ 8 13],-0.1,-0.1,-0.1,0.0
[ 7 13],-0.1,0.0,-0.19,0.0
[ 6 13],-0.1,-0.1,0.0,-0.1
[ 6 12],-0.1995,-0.1,-0.1095,-0.1
[ 7 12],-0.1,0.0,0.0,-0.1
[ 8 12],0.0,-0.19,0.0,0.0
[ 9 15],0.0,0.0,-0.1,0.0
[ 7 14],-0.1,0.0,0.0,0.0
[ 6 14],0.0,0.0,-0.19,0.0
[ 5 14],-0.19,-0.19,0.0,-0.1
[ 5 15],-0.1,0.0,-0.1,0.0
[ 5 13],-0.19,-0.1,-0.1,0.0
[ 5 12],-0.1,-0.1,-0.1,-0.2805
[ 6 11],-0.271,-0.1,-0.1,-0.1
[ 7 11],0.0,0.0,-0.19,-0.1
[ 6 10],0.0,-0.1095,-0.1,-0.19
[ 5 10],0.0,-0.1,-0.1,0.0
[ 4 10],0.0,-0.28905000000000003,0.0,0.0
[ 4 11],-0.19,-0.1995,-0.30000000000000004,-0.1
[ 5 11],-0.1,-0.1095,-0.1,-0.1
[ 4 12],-0.1,-0.19,-0.30000000000000004,-0.19
[ 4 13],-0.19,0.0,0.0,-0.1
[ 4 17],-0.1,0.0,-0.1,0.0
[ 8 11],-0.1,0.0,-0.1,0.0
[ 8 10],-0.1,-0.1,0.0,-0.30000000000000004
[8 9],0.0,-0.1,0.0,0.0
[ 7 10],-0.1,0.0,-0.1,0.0
[7 9],-0.1,0.0,0.0,0.0
[7 8],-0.1,0.0,0.0,0.0
[7 7],0.0,0.0,0.0,-0.1
[8 7],-0.1,0.0,0.0,0.0
[8 6],-0.1,0.0,0.0,-0.1
[8 5],0.0,0.0,-0.1,-0.1
[7 5],0.0,0.0,0.0,-0.1
[9 5],-0.1,-0.19,0.0,-0.1
[9 6],-0.1,0.0,-0.1,-0.1
[10  6],-0.1,0.0,0.0,0.0
[10  5],-0.19,0.0,-0.1,0.0
[10  4],-0.1,-0.1,0.0,0.0
[10  3],-0.19,0.0,-0.1,-0.1
[9 3],0.0,-0.1,0.0,-0.1
[9 4],-0.1,-0.1,0.0,0.0
[10  2],-0.1,-0.1,0.0,0.0
[11  3],0.0,0.0,-0.1,0.0
[10  1],-0.1,0.0,0.0,0.0
[10  0],0.0,0.0,0.0,-0.1
[11  0],-0.30000000000000004,-0.1,0.0,-0.19
[12  0],0.0,0.0,-0.1,-0.1
[11  1],-0.1,0.0,0.0,-0.1
[12  1],0.0,0.0,-0.1,-0.1
[13  0],-0.30000000000000004,0.0,0.0,-0.1
[14  0],-0.30000000000000004,-0.1,0.0,-0.1
[14  1],-0.1,0.0,-0.1,0.0
[13  1],0.0,-0.19,-0.1,0.0
[13  2],-0.1,0.0,0.0,-0.1
[14  2],-0.1,0.0,0.0,0.0
[15  0],0.0,0.0,0.0,-0.19
[16  0],-0.30000000000000004,-0.1,-0.1,0.0
[16  1],0.0,0.0,0.0,-0.1
[17  1],0.0,0.0,0.0,40.0
[18  1],0.0,0.0,0.0,0.0
