,0,1,2,3
[7 5],0.0,0.0,0.0,-0.1
[8 5],-0.1,-0.19,0.0,0.0
[8 6],-0.1,-0.1995,0.0,-0.28905000000000003
[8 4],0.0,0.0,0.0,-0.19
[9 4],-0.1,-0.1,-0.1,-0.1
[9 5],-0.1,-0.1,-0.1,0.0
[9 6],-0.1,-0.1,-0.271,-0.19
[9 7],-0.1,-0.1,-0.1,-0.19
[10  7],-0.19,-0.19,-0.1,-0.1
[11  7],-0.1,-0.1,-0.1,-0.30000000000000004
[10  6],-0.1,-0.1,-0.19,0.0
[8 7],-0.1,-190.0,-0.1,-0.1
[7 7],0.0,-0.1,0.0,-0.1
[9 8],-0.19,-0.5795000000000001,-100.0,-0.2004025
[10  8],-0.20805,-0.30000000000000004,-0.19,-0.2805
[10  9],-0.1995,0.0,0.0,0.0
[11  8],-0.1,-0.1,-0.20805,-0.30000000000000004
[11  6],0.0,-0.1,0.0,-0.5700000000000001
[11  9],0.0,0.0,-0.30000000000000004,-0.1
[12  9],-0.5700000000000001,-0.1,-0.1,0.0
[12 10],-0.1,0.0,0.0,0.0
[8 8],-0.1,-0.1,-0.1,-0.1995
[7 8],-0.1,-0.19,-0.30000000000000004,-100.0
[7 9],-0.19,-0.1,-0.1,-0.1
[8 9],-100.0095,-0.1,-0.1,-0.30000000000000004
[ 8 10],-0.1,0.0,0.0,0.0
[ 7 10],-0.1,0.0,0.0,0.0
[6 9],-0.30000000000000004,0.0,0.0,-0.1095
[10  5],0.0,0.0,-0.1,0.0
[9 3],-0.1,-0.1,0.0,0.0
[10  4],-0.1,0.0,0.0,0.0
[10  3],0.0,0.0,-0.1,0.0
[9 2],-0.1,0.0,0.0,0.0
[9 1],-0.1,0.0,-0.19,-0.1
[8 1],-0.1,-0.1,-0.1,-0.19
[7 1],0.0,0.0,0.0,-0.19
[8 2],0.0,0.0,-0.1,0.0
[7 2],-0.1,0.0,0.0,0.0
[8 0],-0.30000000000000004,-0.1095,-0.1,-0.1
[7 0],-0.30000000000000004,0.0,0.0,-0.1
[9 0],0.0,-0.1,-0.1,0.0
[10  1],0.0,0.0,0.0,-0.1
[11  1],0.0,0.0,0.0,-0.1
[12  1],0.0,0.0,0.0,-0.19
[13  1],0.0,-0.1,-0.1,-0.1
[13  2],-0.1,0.0,0.0,-0.1
[14  2],-0.1,-0.1,-0.1,0.0
[14  3],-0.1,-0.1,0.0,0.0
[14  4],0.0,0.0,-0.1,0.0
[13  4],-0.19,-0.1,-0.30000000000000004,0.0
[13  5],-0.1,0.0,0.0,0.0
[13  3],0.0,-0.1,0.0,-0.1
[14  1],0.0,-0.1,0.0,-0.1
[15  1],0.0,0.0,0.0,-0.1
[16  1],-0.1,0.0,0.0,-0.19
[17  1],-0.1,-0.1,-0.1,0.0
[16  0],0.0,-0.1,0.0,0.0
[17  2],-0.1,0.0,0.0,0.0
[17  0],0.0,0.0,0.0,-0.19
[18  0],0.0,0.0,-0.1,-0.1
[19  0],0.0,-0.1,0.0,-0.30000000000000004
[19  1],0.0,0.0,40.0,0.0
[18  1],0.0,0.0,0.0,0.0
