,0,1,2,3
[7 5],716.2091774223585,869.0558706765564,813.7799161445289,752.2913607729367
[7 6],819.7966690469716,915.8482849226916,862.9740529192472,803.7414505377571
[7 7],857.0084783225004,965.1034578133601,907.9900112409887,845.3573405778577
[7 8],907.799300358675,1016.9510082245902,955.2587889097167,-117.22397790633323
[8 8],221.56034587206162,157.01331329678857,957.89244825653,-3.3697714741830116
[7 9],963.217422484431,903.8010653034869,1071.5273770785166,916.2900279852548
[9 8],-4.728293151998329,-5.05815999405425,-903.0347761812982,-4.714153406971847
[10  8],-4.475100760976765,-4.44236360489476,-4.466898155034755,-4.430673187291931
[10  9],-2.9868721835707763,-2.6299164730676594,-2.6466252985464185,-2.45571528888237
[10 10],-3.056894884889014,-2.9938592270843705,-3.405984548502684,-3.0582933434043187
[10 11],-2.777950446475161,-2.692508195329997,-3.5048218450774744,-2.773680748553196
[11 11],-2.78907670181413,-2.7002424244290557,-2.712608919315822,-2.6955415539339316
[11 10],-3.133983722653415,-3.0578671448608317,-3.090519568238642,-3.089598236942694
[11  9],-3.5557363285108305,-3.468372016610745,-3.4650978118922793,-3.4288133232767826
[12 10],-2.8163717872592633,-2.8563195055094943,-2.9671680112908745,-2.8201991389871566
[12  9],-4.12132093187166,-3.046687606984835,-2.988352010580415,-2.9908342094575957
[12 11],-2.6736103562067077,-2.5932325668556726,-2.5946231777385593,-2.5949773598003416
[13 10],-2.5628288424064465,-2.6430878939065208,-2.6009472172701664,-2.6222567003367834
[13  9],-2.6691719405834973,-2.729455223081438,-2.6621471034790485,-2.618676455710106
[14  9],-2.5074706534606053,-2.6579314754168495,-2.4629620850341225,-3.6750699163502887
[14 10],-2.491210333483053,-2.374184319380527,-2.4567002433724356,-3.317629404444572
[14  8],-2.578932007382277,-2.54604578821736,-2.5201934721861683,-2.583627758228383
[13  8],-2.5648630444836806,-2.579815000985141,-2.5898758205087486,-2.7102275101599584
[14  7],-2.590705745656729,-2.638206538457901,-2.756672675125138,-2.6144400145443445
[13  7],-2.825104842965023,-2.6802261330394312,-3.641123324803864,-2.7172035279207405
[13  6],-2.990372142170168,-2.872106432601548,-4.010684836421183,-2.8226205071821915
[13  5],-3.1188693473748117,-3.1124940931902474,-3.9211756022506137,-3.0829838054083227
[13  4],-3.313013912750688,-3.294184933801924,-4.139680307248117,-3.3395116033650964
[14  6],-2.877663321611818,-2.7354395610453315,-2.6878897601350613,-2.7084493891709176
[15  7],-2.453118981553818,-2.444763400269435,-2.522489686790886,-2.4928693107389774
[15  8],-2.433289623357204,-3.0686603324728754,-2.3241646457482137,-2.3469397333537154
[16  7],-2.2787967563971634,-2.2442771980404963,-2.2514238345917974,-2.2156861228431515
[16  6],-2.4680993856528826,-2.4796296202994474,-2.5682948400019967,-2.510302910940065
[17  6],-2.3091943267075803,-2.226389340091473,-2.3160217714564064,-2.2856143044200814
[17  7],-1.93684591607227,-1.7101155003342932,-2.08872051000181,-1.776958669014904
[18  7],-2.0452449761382656,6.258098159248494,-1.914981652291927,-0.9187243555704971
[19  7],2.3724853803944934,81.83469860662248,-1.7818702155514456,-2.4619768904480837
[19  8],1.6335816402902146,292.15588431138553,3.9260467631474563,1.623621096982394
[18  8],-1.4766495680219172,5.54398788809013,-0.4857226005993258,76.27482321450088
[17  8],-1.7817277466747778,-1.588493641729965,-1.6326159882777762,17.14601460758403
[18  6],-2.086973217830652,-1.3427589011308225,-2.122055587295547,-1.950419865063017
[16  5],-2.6209995096315826,-2.6733764791451207,-2.6790746352894352,-2.6172584380349035
[15  6],-2.590190433756647,-2.6316445378523836,-2.575772873529882,-2.6678187187565694
[14 11],-2.236795178161168,0.4168478982898228,-2.1905294635228616,-2.46908704581231
[13 11],-2.361281755427484,-2.2813906424097166,-2.445280965107456,-2.309080241221044
[11  8],-4.113920416617223,-4.039817992520943,-4.146128072228011,-5.18993872385258
[11  7],-4.462515680348698,-4.375813425570358,-4.508262402101044,-4.738393503609053
[10  7],-4.66727287014772,-4.598711247026144,-4.580503640447497,-4.627170414012739
[11  6],-4.649958722458994,-4.612598749041694,-4.678628933342039,-5.271013427813925
[11  5],-4.73110324220537,-4.72754009319258,-4.710668703592762,-5.636596021013414
[11  4],-4.658033306199714,-4.64855488469248,-4.621583715249253,-4.820894423551287
[10  5],-4.821354773708606,-4.846522946398449,-4.980386897890753,-4.86160283415688
[11  3],-4.4118605327779745,-4.4746896762791595,-4.4426992655542605,-4.353970607517935
[10  4],-4.75389001772238,-4.776630939117485,-4.824903428641244,-4.794714517569974
[12  3],-3.9998739295162444,-4.7208472321067365,-4.104947603325413,-3.9949704790044356
[11  2],-4.3709695487608125,-4.263004866295001,-4.268344812207814,-4.296376513000217
[12  2],-4.033824546522976,-4.041938438361021,-4.051317130819953,-4.012990576948055
[12  1],-3.9850986623379647,-3.9956080000470804,-3.965677628349704,-4.020579168343081
[12  0],-4.769709562689217,-3.9274196811620787,-4.0775323558837036,-3.9860811407003203
[13  1],-3.769975534386925,-3.713752488949711,-3.7347736934395277,-3.7569045885039074
[13  0],-4.9432130324328565,-3.7730393972835907,-3.8674904396839245,-3.78626598147521
[14  0],-4.077030612372412,-3.5491135685076145,-3.6318312583191745,-3.5967688410674308
[14  1],-3.5949791604793706,-3.597773608424649,-3.5213566229536313,-3.532366344748401
[14  2],-3.622106882703382,-3.5043918829020573,-3.4982657895273377,-3.4642506978904737
[15  2],-3.221286176529585,-3.212054252229063,-3.4132754832548917,-3.2421590541478755
[15  1],-3.277209100186951,-3.2644822953001715,-3.3826710873573616,-3.2890853321340847
[13  2],-3.690292046762849,-3.7029892602669694,-3.758755904246332,-3.7170024823947854
[13  3],-3.676418100230844,-3.5858952295779254,-3.597498155879018,-3.6370646111441585
[10  3],-4.6549107429106495,-4.671575286629924,-4.741789879726992,-4.618682655813135
[10  2],-4.460149589404896,-4.621087638026091,-4.450373622592857,-4.47720666927175
[10  6],-4.7870426750766315,-4.739556302358031,-4.81105070031211,-4.732255857077162
[9 5],-5.1128350907200915,16.570723558762637,-5.277831919970895,-5.125879225549891
[8 5],11.316892575853586,71.40703407226083,820.0657923987762,-5.348185681181107
[8 4],-5.096668281217026,218.5202232335745,8.18867959421739,-5.20335450265565
[8 3],-4.8840230743636015,8.32332695663132,-4.901347146899988,-4.896099231664899
[7 4],-1.0167187542551623,809.4001917480193,160.01724023771732,22.337729522288964
[8 6],140.11493585702527,226.25302957372446,865.6176744633799,15.582175822361162
