,0,1,2,3
[ 2 17],207.80539900840736,577.1921898237642,85.96593708207523,889.0821549255668
[ 2 18],110.07235011850243,68.17750348009811,80.10327188980739,929.3135865325125
[ 1 18],37.39395246961271,-1.365469658652383,-2.2048141954162204,204.90598966735178
[ 0 18],-2.159308580582249,-2.1633320995289194,-3.116417366933587,2.813959915934226
[ 0 19],-2.1814375973938427,-3.212065201612675,-2.133859208866077,-1.3081181942052496
[ 1 19],7.861203466047856,-2.7318875600338464,-2.275079081975608,29.7174668613451
[ 2 19],276.45089764084184,-2.4095224276016576,-1.0785997638601055,53.24155809952751
[ 3 19],625.0076079098976,102.09360992646879,-0.9395153910744063,73.07787233622031
[ 4 19],319.37104908222835,24.40146319144802,73.48144242602783,541.3262021769215
[ 5 19],1150.1000442854095,500.3143785577597,158.47734660818264,160.6204159149818
[ 5 18],996.9132583398329,894.8631513055996,942.2285931711252,1298.0063601738213
[ 6 19],691.4624623662291,262.6329952185286,185.97835077358332,944.8293342207826
[ 5 17],613.4360187200629,1224.7993726602579,819.0930544297781,900.6266854061935
[ 6 17],150.15414943390667,1261.468442667864,554.0330719213357,646.7403199946057
[ 4 18],641.7709728217608,145.16616764286672,807.0979901914114,1209.6096738020074
[ 3 18],488.8130363926376,239.245892726071,523.1992849210916,1100.4213506287686
[ 3 17],141.25237510702274,552.0959255869318,395.5323241745871,1032.022622571102
[ 3 16],3.0080144916628866,443.185264725517,56.6895100176704,64.90612586697432
[ 0 17],-2.1475767881032115,-2.145598188076042,-2.595971759756511,18.577216676298953
[ 0 16],-2.00419998040889,-2.1353095451273267,-2.855276251664577,-2.035380638087849
[ 1 16],-1.8111062408188638,-2.2334788689043403,-2.1246405491266787,63.05502589009693
[ 2 16],-1.905450926901199,493.72787031014394,-2.107724181678333,49.143804046386705
[ 4 16],13.018359496784154,258.91503799026947,53.04138493993169,600.4156439254763
[ 4 17],201.85362480540977,670.1419447619377,554.9085217271414,1138.7177724857995
[ 5 16],-0.8187664590087698,1021.4976376040122,207.2413688177098,17.626430280235397
[ 6 16],3.8531383252041733,440.89310079680064,103.09058798712792,64.03046151709889
[ 7 16],22.193251816668766,684.0803053576547,44.69898282690359,78.40657112588383
[ 8 16],12.27653102218259,752.0431710495272,7.529104371701617,59.11406507796141
[ 8 15],-0.4764118425517692,117.47089756480064,0.1615598392073414,1.6704709334410612
[ 7 15],-0.7021670984410255,161.14466562149028,-0.7178090142793487,15.177111539812511
[ 7 14],-0.8707081672327504,0.7848188123162295,-1.2378341171855567,-0.7417898359581234
[ 8 14],-1.012106584234908,12.52180330072915,-0.7307859234236875,-0.7384150165075001
[ 9 14],-0.8505530250000001,-0.54243301875,-0.6114411616402218,-0.55954183
[ 9 15],-0.51747768525,65.2365182748608,1.7005255058711057,-0.44649780053125004
[ 9 16],5.820304146549276,608.8765955505854,-0.28905000000000003,4.5100591187875
[ 7 17],258.56777277979194,1281.7663547656941,643.3831634752829,640.3353581413025
[ 7 18],1072.4843672269028,955.2934637191751,1119.8963058958147,1441.9436893560157
[ 6 18],989.8315845533099,585.2249311013594,1084.1577704369686,1368.5078599031824
[ 7 19],829.3818421739918,730.3131693154229,339.7286998775591,1287.7053596893404
[ 8 19],1434.5668379606032,1141.3702772721879,688.0704327021085,819.5631209684852
[ 9 19],1447.0665530198085,856.0445552077358,549.7268932508464,222.25384501000002
[ 9 18],1207.4264896935085,1182.4690493005921,1331.4421530356758,1599.996812654088
[ 8 18],1078.6639907699082,1198.4298225553005,1310.1823075119157,1518.986932698555
[ 8 17],266.5132763430999,1387.7953165641006,386.2213376459439,590.7933304621026
[ 9 17],122.01880636324842,1440.9193556887412,609.660679084186,528.040544298452
[10 17],4.03317655,1068.459089092,322.11884185842905,-0.28905000000000003
[11 17],-0.3867925,-0.271,34.42300000000001,-0.20804999999999998
[ 6 15],-0.9827014542434256,72.12688228454417,-1.0056403499525322,13.889387224756614
[ 5 15],-1.3593793695465057,52.75661326407557,-1.3499011098578781,-1.2648562860051562
[ 4 15],-1.6747394204343453,78.71319196159834,5.917634274817361,-1.0823777416705034
[ 3 15],-1.712580877137557,47.732792094550945,-1.6497312047900157,-1.5404108622605512
[ 4 14],-1.5088895595096836,3.0410455364543534,-1.4884366637834903,-1.4766448722280978
[ 4 13],-1.4500305861342409,-1.4225744064724464,-2.1584219383178986,-1.3946586459345347
[ 5 13],-1.284677060220761,-1.2950983098258708,-1.374668990559804,-1.335572157941217
[ 5 12],-1.1970546525933694,-1.2513604998774221,-1.3538402645568013,-1.2700182475335884
[ 6 12],-1.2080644664172517,-1.2390119707791443,-1.1987235632684996,-1.2491307532794147
[ 6 13],-1.1613847415717165,-1.2582686564301138,-1.2503040323895789,-1.1733078723588322
[ 6 14],-1.1884749272334372,-1.0831471741838352,-1.2577075280407917,-1.1821762543304586
[ 7 13],-0.834855482462396,-1.1272968913882266,-1.1690163026840346,-0.9399629294247229
[ 7 12],-0.9889470924629374,-1.0178007098961819,-1.2853211646722382,-1.1054846574145154
[ 6 11],-1.134784445518518,-1.1867677107667065,-1.3254013722995583,-1.1046650913329694
[ 7 11],-1.0504644826999385,-1.1246474972277176,-1.0002949609833647,-1.013955652631741
[ 7 10],-1.098165417072865,-1.0500052406960125,-1.2093867450446874,-1.0966619674761595
[ 8 11],-0.8807345961326767,-1.047656390585745,-1.0572809423979426,-1.7201205327827291
[ 8 12],-1.063573200993474,-0.9796274568813043,-1.0597995761350132,-1.3169512500000002
[ 8 10],-0.7666165971625749,-0.9009041589710001,-1.246667548009742,-1.8064483608566677
[8 9],-468.6216853416775,-0.835182078158385,-0.857854593698371,-0.85670475
[8 8],-0.8523685439365019,-0.4121641975,-0.6776347674889738,-0.39929570186875
[8 7],-0.747122133675625,-468.64337795280255,-0.7724804542689017,-0.8209260445601266
[7 9],-0.9494498564855347,-1.07246676966709,-0.9790953339138554,-1.0804781107367396
[ 5 11],-1.220257038196362,-1.3329962272526994,-1.20691367033845,-1.2653160448375715
[ 4 11],-1.2710243767652358,-1.184528711351793,-2.724517854798482,-1.2286373300332964
[ 4 12],-1.3203929597429283,-1.3850221180112658,-2.2523166034616002,-1.3004216237321897
[ 5 14],-1.3807526755755686,0.8688220925888128,-1.3095452182364877,-1.322755146855394
[ 8 13],-0.9906339734008821,-0.9294472910999567,-1.0019544231640682,-1.6582080419834526
[11 16],-0.2805,-0.36195000000000005,-0.1995,-0.2805
[10 16],-0.28905000000000003,115.02557440000004,30.610508371393532,-0.28905000000000003
[10 15],-0.36195000000000005,-0.2805,-0.32498130018750004,-0.461683525
[10 14],-0.2805,-0.36195000000000005,-0.4309522905,-0.46415920125000004
[11 14],-0.45321475,-0.40205377499999995,-0.38679250000000004,-0.35340000000000005
[10 13],-0.38588999999999996,-0.20805,-0.30000000000000004,-0.38760475
[11 13],-0.37050000000000005,-0.38760475000000005,-0.29931475,-0.37657050000000003
[11 12],-0.29157700000000003,-0.38987905,-0.48477280000000006,-0.29085048750000003
[12 12],-0.37131225,-0.28905000000000003,-0.2976,-0.20895249999999999
[10 12],-0.3961977375,-0.396073525,-1.6381362750000004,-0.46799815125
[10 11],-0.37135975,-0.3961977375,-0.8310500000000002,-0.29931475
[10 10],-1.2714225000000001,-0.2985025,-1.2724404012500001,-0.4043879725
[11 11],-0.39461598750000004,-0.32256265125,-0.3961977375,-0.2805
[12 11],-0.3885027375,-0.2175025,-0.37383925,-0.35340000000000005
[13 11],-0.20895249999999999,-0.46000725000000003,-0.29166273750000005,-0.271
[14 11],-0.271,-0.20895249999999999,-0.28905000000000003,-0.5700000000000001
[13 12],-0.29674500000000004,-0.2976,-0.2976,-0.35340000000000005
[13 13],-0.2985025,-0.271,-0.28905000000000003,-0.2805
[14 13],-0.30012700000000003,-0.2805,-0.20804999999999998,-0.30000000000000004
[12 13],-0.369645,-0.1995,-0.2166475,-0.4584255
[13 10],-0.30020867625000003,-0.305295,-0.37909750000000003,-0.2004025
[14 10],-0.20805,-0.20805,-0.2814025,-1.04975
[13  9],-0.2976,-0.29674500000000004,-0.33164230000000006,-0.43525500000000006
[13  8],-0.19,-0.29165867625,-0.5700000000000001,-0.2976
[13  7],-0.2976,-0.2976,-0.5795000000000001,-0.28905000000000003
[12  9],-0.8405025000000002,-0.485012865,-0.421480493625,-0.378195
[12 10],-0.396112,-0.3808077375,-0.4694642625,-0.37990975
[11 10],-0.6269064697875001,-0.38153425,-0.38088490125,-0.40222525
[11 15],-0.48168625,-0.2976,-0.29674500000000004,-0.42756000000000005
[ 4 10],-1.405491553792857,-1.1836342180884043,-2.099593287252209,-1.2285704997852493
[ 5 10],-1.3072174339083231,-1.264016394799949,-1.200163721763219,-1.113414772302637
[ 6 10],-1.1682522031846636,-1.2529608727775112,-1.055824700235092,-1.1091547777230697
[5 9],-1.1988453881132455,-1.33757322628106,-1.2472426754846573,-1.3490471574212273
[6 9],-1.833459031007263,-1.1692317588946122,-1.2298860139927141,-1.1717123017690358
[7 8],-0.9481743946560354,-0.8919794464372476,-1.7831260361974277,-409.56160540125
[9 8],-0.7329190891855796,-1.365233947199393,-468.63861178125006,-0.6336941455884335
[9 7],-0.8230324994546876,-0.7220873197570444,-0.7947671173844596,-0.8665274214219754
[10  7],-0.6642741508087501,-0.6469593680424345,-0.7904795851964157,-0.8940179351246964
