,0,1,2,3
[19 15],-4.007725448278384,-3.9839689338645337,-4.0468307108934285,-5.519308053742603
[19 16],-3.716601005484093,-3.647159197235778,-3.6934341069544194,-4.35738987805757
[18 15],-3.7122374217263636,-3.709870285590007,-3.6502605888943034,-3.6699047081063143
[18 16],-3.4869926687521318,-3.583063274014634,-3.4774342795079223,-3.6154018577347453
[18 17],-3.5127879397027644,-3.324466463107697,-3.368277692518705,-3.388527710426352
[19 17],-3.470316637082628,-3.465827724307555,-3.433309997067274,-4.551449879371635
[19 18],-3.346983872157181,-3.3071963841782877,-3.2933931511064474,-4.690631429541269
[18 18],-3.211922243111142,-3.2626408347089186,-3.2370631617560823,-3.2382770590153336
[17 17],-3.233239007560156,-3.2586300315204975,-3.2610860182359023,-3.252765999409573
[17 18],-3.225273337534606,-3.2567626585079292,-3.1698473011982444,-3.1244787214655165
[17 15],-3.3451846720378344,-3.3750538882484284,-3.3181309550613007,-3.5098574449657725
[17 14],-3.234209489189622,-3.2927760830188553,-3.322474459791421,-3.2412593258924267
[16 14],-3.079741826735341,-3.0867279301575,-3.1544553993522815,-3.1610828061608824
[17 13],-3.1491582463327905,-3.126245783120962,-3.1069633759178403,-3.2498038410927768
[18 14],-3.348621126726446,-3.676826419180406,-3.4637426395744724,-3.4259442768550796
[19 14],-3.6162996958105196,-3.678751261603653,-3.597306952598939,-5.523515605770235
[19 13],-3.3108087679333678,-3.340392771011791,-3.369326000457986,-4.524248991690525
[19 12],-3.1914247849559265,-3.1432629318814542,-3.2099821502210606,-4.426740328148309
[18 12],-3.0382820582978423,-3.153417783502999,-3.0577949291711146,-3.111181977842253
[18 13],-3.1958013383264774,-3.285845439934437,-3.31111747238639,-3.239878871766795
[16 13],-3.052220370072058,-3.096985386025296,-3.433845606655563,-3.0203494324897475
[16 12],-2.9032981766405284,-3.053138316114801,-3.1718394266105716,-2.877563249780197
[16 11],-2.7787276104075334,-2.7561216123978136,-2.8373498978714955,-2.7666624201901064
[17 12],-2.971714620821422,-3.0425078815302586,-2.991658754276265,-2.9799482437125997
[17 11],-2.788622312425889,-2.821501254902472,-2.754329032161009,-2.943054426410588
[16 10],-2.7084509361701854,-2.6447838359367775,-3.309866409532761,-2.65667619406876
[17 10],-2.5567416896162216,-2.8168770404640657,-2.7157879472742357,-2.701530537242771
[17  9],-2.494415939725936,-2.5787057081143,-2.5251619639318728,-2.526643265307305
[18 10],-2.562568232647698,-2.6054569902510414,-2.779698452444749,-2.742576248280361
[18 11],-2.79522657806506,-2.8610901647490494,-2.8175097658446084,-3.093206641168384
[19 11],-2.9143800292224,-3.1899578236630624,-2.9168288241009264,-4.367372300702003
[19 10],-2.7579062388080366,-2.699501367958855,-2.747668721137754,-3.605516656937765
[18  9],-2.4915035471719054,-2.4074678418876445,-2.488474720576104,-2.618034633989977
[16  9],-2.503116498244058,-2.531845823392129,-3.048520789830316,-2.5927792236779803
[17  8],-2.2461718864185043,-2.4890420905110195,-2.3390688310867818,-2.235472552139963
[17  7],-2.060245368978556,-2.2522261924529703,-2.1070581518000773,-2.2683001058255945
[16  7],-2.058596281028712,-2.160880845956425,-2.0022030161161837,-2.1329556034848927
[18  7],-2.2399898146667985,-2.1662105726417122,-2.1915460214005433,-2.2045047167677176
[18  8],-2.367515439909178,-2.3189356647408337,-2.297226771320474,-2.3737485373223484
[16 15],-3.0873239592744577,-3.1541312209047216,-3.105793012806156,-3.0960677703682573
[17 16],-3.3534832341586873,-3.3419923128005133,-3.284038426884303,-3.3133020096557395
[16 16],-3.057963951691506,-3.2195073172773396,-3.137498471913455,-3.2175478020739603
[16 17],-3.305222094600168,-3.0552763470334954,-3.116567842551183,-2.9960568919812585
[15 16],-2.945938188217404,-2.908131576261004,-2.946297710738392,-2.9370369993350693
[15 15],-2.9688936875960543,-3.0116880937449078,-2.9115144617653073,-3.0083535253443086
[15 14],-3.452167034102946,-2.962747240489299,-2.8794648939293066,-3.0476736925622476
[14 15],-2.7315725500746053,-2.750620306010211,-2.681697622396996,-2.7859118108434986
[16 18],-3.0540264965243376,-3.0434220645482326,-2.9854624302449753,-3.0078836594607727
[15 18],-2.874177147961688,-2.8069242452057708,-2.785486884908612,-2.9481491347772866
[15 19],-2.9131022176833525,-4.2035183407963705,-2.8508260090448005,-2.915580970286994
[16 19],-2.9571490887836718,-3.963488353523552,-3.120265734159358,-3.0102898383729237
