,0,1,2,3
[ 2 17],-0.28905000000000003,-0.34390000000000004,-0.1,-0.20804999999999998
[ 2 18],-0.19,-0.1,-0.1,-0.271
[ 3 18],-0.28905000000000003,-0.1,0.0,-0.271
[ 4 18],-0.1095,-0.369645,-0.19,-0.1995
[ 4 19],-0.19,-0.8225000000000001,-0.1,-0.34390000000000004
[ 3 19],0.0,-0.30000000000000004,-0.1,-0.1
[ 2 19],-0.19,0.0,0.0,0.0
[ 5 19],-0.19,-0.30000000000000004,-0.1995,-0.1995
[ 5 18],-0.19,-0.1,-0.19,-0.19
[ 3 17],-0.2805,-0.19,-0.1995,-0.271
[ 3 16],-0.1995,-0.28905000000000003,-0.2976,-0.1995
[ 4 16],-0.1,-0.1,-0.29674500000000004,-0.1
[ 4 17],-0.1995,-0.1995,-0.19,-0.1
[ 5 17],0.0,-0.1995,-0.1995,0.0
[ 1 17],-0.19,-0.1,-0.1,-0.1995
[ 2 16],-0.2805,-0.1995,-0.19,-0.20895249999999999
[ 5 16],-0.1995,-0.1,-0.1,-0.1
[ 5 15],-0.19,-0.19,-0.1995,-0.19
[ 4 15],-0.1,-0.1,-0.1995,-0.2805
[ 3 15],-0.19,-0.1995,-0.19,-0.1995
[ 2 15],-0.1,-0.1095,-0.1,-0.1995
[ 3 14],-0.8310500000000002,-0.1995,-0.1,-0.36195000000000005
[ 4 14],-0.19,-0.1995,-0.271,-0.271
[ 2 14],-0.19,0.0,0.0,-0.19
[ 5 14],0.0,-0.1995,-0.21660000000000001,-0.1
[ 6 14],-0.1,0.0,0.0,0.0
[ 6 13],0.0,0.0,-0.1,-0.1
[ 7 13],0.0,0.0,-0.1,0.0
[ 5 13],-0.1,0.0,0.0,0.0
[ 5 12],-0.1,0.0,-0.1,-0.1
[ 6 12],0.0,0.0,-0.1,0.0
[ 4 12],-0.1,-0.1,0.0,0.0
[ 4 11],-0.1,-0.1,-0.30000000000000004,-0.19
[ 5 11],-0.1,-0.1,-0.1,0.0
[ 5 10],-0.1,0.0,-0.19,0.0
[5 9],0.0,-0.1,0.0,0.0
[ 4 10],0.0,-0.19,0.0,-0.1
[ 4 13],0.0,-0.2805,-0.30000000000000004,0.0
[ 1 15],0.0,-0.1,0.0,0.0
[ 1 16],0.0,-0.19,-0.1,-0.19
[ 2 13],-0.19,-0.19,0.0,-0.30000000000000004
[ 2 12],-0.1,-0.19,-0.1,0.0
[ 1 12],-0.1,0.0,-0.1,-0.1
[ 0 12],0.0,0.0,0.0,-0.1
[ 1 11],0.0,-0.1,0.0,0.0
[ 2 11],0.0,-0.1,0.0,0.0
[ 6 16],0.0,0.0,-0.19,0.0
[ 6 19],-0.20805,-0.30000000000000004,-0.1095,-0.19
