,0,1,2,3
[0 0],-3.1611175085154897,-1.8532517761458958,-2.6980934046559204,-1.7125030568119708
[0 1],-1.6701517739567668,-1.6178729588348766,-2.475859286980039,-1.647256884923138
[1 1],-1.2945399462651022,-1.3246964924905669,-1.428969034384028,-1.425584406957618
[1 0],-3.0504100381079944,-1.3276351759483636,-1.757292312435006,-1.3387114077291737
[2 0],-1.1517057520586476,-1.1775099776956721,-1.2267025972852366,-1.1457556841221788
[3 0],-1.1268947500000002,-1.185985994652565,-1.0360027395914415,-1.0810119989956877
[3 1],-0.9953177252022508,-1.0389328211489892,-1.2015159754148872,-1.115177950572008
[3 2],-0.9834204541903375,-1.1394724508321554,-1.1433063944911006,-1.111877072008233
[3 3],-1.0815259096483247,-0.9935605676035367,-1.743920127736003,-0.9802744054337376
[2 2],-1.265147661103284,-1.749273459752796,-1.2781677851918536,-1.2424643063142207
[0 2],-1.7424445673330515,-1.251372196825712,-2.4529833370299547,-1.226335517927178
[1 2],-1.1500017839245458,-1.1902290483379578,-1.3363160502663876,-1.1522457485963549
[0 3],-1.115775665211944,-1.1072251047411998,-1.6483226323708031,-1.1339116613767024
[1 3],-1.0063479314256956,-1.0704275221023554,-1.0519579206652674,-2.2984472218165326
[2 1],-1.1637202552703696,-1.4655890443639858,-1.243418067382813,-1.1711346031964618
[2 3],-0.8363543350109207,-0.8418317646878248,-0.9726704863579942,-0.7392186460756189
[4 3],-0.8430022440508329,-0.8737808847431876,-0.9373599465888954,-0.8156843449923995
[4 2],-0.9598141424552812,-0.8927608437816613,-1.0278394694061583,-0.9317347073212157
[4 4],-0.7905533073745334,-0.7626535755526522,-0.7484108317473783,-0.8602527556024762
[5 3],-0.8310265248130734,-0.7115191427701528,-0.7903578462474218,-0.7289651712284688
[5 2],-1.0457249010030554,-0.8413734151852807,-0.874276234022539,-0.7582477735364077
[3 4],-1.0661380133832388,-0.8725582278804884,-0.8437568626689311,-0.7610861421344999
[5 4],-0.8174132259823454,-0.7869394630278246,-0.7578909407235624,-1.3804471220095325
[4 5],-0.8003973809056004,-0.7608059723999999,-0.7094253597332878,-0.8920964733814378
[3 5],-0.750698358159191,-0.8262429520493813,-0.8459327130276596,-0.7619874319526174
[5 5],-0.804005168627215,-0.8181449537519501,-0.7746742613369235,-1.4545925
[4 6],-0.8395190200971079,-0.7528035399174421,-0.7060931709716688,-0.6797040259080624
[4 7],-0.7121882878203063,-0.7583355812568431,-0.8647834504508437,-0.7565651322766254
[3 7],-0.7499159531786462,-0.8497020058607961,-0.7531431118405,-0.8460039127524375
[2 7],-0.892219037910089,-0.7115469387437501,-0.8826768392398002,-0.7790322768153588
[3 6],-0.7901358232189688,-0.8792462039988,-0.7824073111674328,-0.7383034832225907
[2 6],-0.7148795776727088,-0.9898866666374175,-0.7631289550140686,-0.821033226570302
[2 4],-1.589318420868349,-1.0333442257839873,-0.9119828395764716,-0.9282520675771757
[0 4],-1.042646838505692,-1.1593846151896487,-2.3216273115559694,-0.952639940633458
[4 1],-1.078634811546053,-0.9521018372014981,-1.0175624530084024,-0.8662601189039131
[5 6],-0.7194434222426618,-0.65342911677375,-0.7669005641418909,-0.8130000000000001
[2 5],-0.8306156950163243,-0.9020445784069114,-0.8137948530870465,-0.8762066604282007
[1 5],-0.9893443286077961,-0.8550489232851607,-0.9187082345013304,-0.9272634802003091
[1 6],-0.7948242787306865,-0.8528143026073749,-0.6951602883540906,-0.7742316155112224
[1 7],-0.7631591751704361,-0.9025955871443618,-0.7632986584810795,-0.7690883604172001
[0 5],-1.004311691127351,-0.9242020316342634,-1.125665965327583,-1.0597594470171317
[1 4],-0.9918497647129128,-0.9434009648355632,-1.076611851569072,-1.006541234446696
[2 8],-0.6945485561100381,-0.7367099403684375,-0.7684932791188434,-0.7099163020063796
[1 8],-0.7970425385333443,-0.8993834765411857,-0.7676202607124625,-0.6722165682298913
[1 9],-0.7252055476084514,-0.711264702175,-0.7708940890224242,-0.7634939928803156
[2 9],-0.6897007918411256,-0.57731572211875,-0.6444830135493751,-1.6998656775750003
[ 2 10],-0.3961977375,-0.8184989256655,-0.49904937981249997,-0.598272
[0 7],-0.8290132957085999,-0.696132792987525,-1.2844907,-0.6805748230870875
[0 8],-0.6709804654075001,-0.7679271322909407,-1.3361996059706251,-0.7455199305568125
[ 1 10],-0.6052324126835222,-0.7172212383112782,-0.6715439342412188,-0.5908509193187501
[ 0 10],-0.685418133247572,-0.6514482971901123,-1.564683460959969,-0.6728139145296562
[ 0 11],-0.6296532860905313,-0.49957167686875004,-0.5889525,-0.5774506241737781
[0 9],-0.7348844394216251,-0.7354158332037188,-1.3813954516756803,-0.782215896520845
[ 1 11],-0.7005483899382046,-0.5313420269125001,-0.5179617066913623,-0.48480761987500004
[ 2 11],-0.64851079159375,-0.53374116,-0.54182604,-1.4731674225
[ 1 12],-0.31810852875,-0.519180676546875,-0.38007265125000006,-0.3968475375
[ 0 12],-0.48795284674375,-0.46706575,-0.8472949999999999,-0.38776765125
[ 0 13],-0.49406160680625,-0.271,-1.2637275000000003,-0.2985025
[ 1 13],-0.2994857963125,-0.2976,-0.3714025,-0.31507730875000006
[ 2 12],-0.40988177499999995,-0.37131225,-0.39639851299375,-0.8130000000000001
[ 2 13],-0.1995,1.3813017975,-0.20805,-0.58805
[ 2 14],-0.1,12.600814249999999,-0.44470750000000003,-0.362627385625
[ 1 14],-0.2985025,-0.271,-0.28905000000000003,-0.2805
[ 1 15],-0.1189525,-0.1995,-0.1,29.54313956
[ 1 16],-0.1,-0.1,-0.19,98.47513500000001
[ 2 16],23.2710374,778.21403,4.64825675,27.842139155
[4 0],-1.8345810448778872,-0.9527237136563551,-1.2461725133123738,-0.9749157112208022
[5 1],-0.9796844906086157,-0.9657913241985644,-0.9015970481790981,-0.9341574062951925
[5 0],-1.3470130366724224,-0.8980331630847986,-0.9014967859210568,-0.8868958193417369
[6 0],-0.879061010664375,-0.7067702401396876,-0.7836339559215079,-0.6491267107337813
[6 1],-0.64959503846875,-0.6622357377526875,-0.9552670630290356,-0.6353696168687499
[0 6],-0.8821733872472071,-0.7894937767075001,-1.5668073591325595,-0.7587903620054361
[6 2],-0.6070369794818063,-0.6662522164514625,-0.8453434933018811,-0.63976765136875
[7 2],-0.6465952786637501,-0.5483456308875,-0.6307953404576107,-0.589136485075
[8 2],-0.6945790507500001,-0.5502339006496876,-0.48773598554784064,-0.6392008464859968
[8 3],-0.582171160125,-0.47801020125000004,-0.3071807963125,-0.47785587375000005
[9 2],-0.6033215697949376,-0.6424083498625001,-0.5888086439211074,-0.61410626265
[10  2],-0.6588581511,-0.48623976862500007,-0.48423543487500004,-0.396112
[8 1],-0.8219507534514339,-0.6404621334956749,-0.65286015949375,-0.5329975
[9 1],-0.543251314181875,-0.6711794794825001,-0.528259384875,-0.569450919
[9 0],-1.0945864850000002,-0.6148525,-0.49030266877500006,-0.48180595000000004
[11  2],-0.5726229274375,-0.30717265125000004,-0.416807275,-0.3886652100625
[11  3],-0.389148025,-0.5124565053750001,-0.386621025,-0.48292087000000006
[10  3],-0.41827744749999995,-0.4852289235,-0.5545546826875001,-0.46196206500000003
[9 3],-0.655322995425,-0.4943210160625,-0.4996990587344063,-0.5740695018187499
[10  1],-0.716250874075,-0.5694807775,-0.50505812625,-0.58395918326875
[10  0],-1.0497500000000002,-0.6371849527500001,-0.5187044820000001,-0.5642649735
[8 0],-1.1378479965750312,-0.7053909600000001,-0.5984099216406563,-0.592906642725
[7 1],-0.6027966849941437,-0.696967407244375,-0.5264588391145875,-0.7694778614087501
[7 0],-0.5795000000000001,-0.6402069236179375,-0.6330818091360626,-0.5822615010726564
[7 3],-0.5358937305349375,-0.68416178025,-0.3902654387500001,-0.4634444256496875
[6 3],-0.639175583426875,-0.5985,-0.592297539528,-0.640213336138125
[11  0],-0.8515241150000001,-0.5764186987500001,-0.5343923741650001,-0.615367723
[12  0],-1.069253025,-0.5136292875,-0.5907790312393751,-0.5327349278475938
[12  2],-0.45402699999999996,-0.46000725000000003,-0.39937286561875,-0.4852052359565625
[13  2],-0.5145242802437501,-0.42475046250000004,-0.46889571006249997,-0.45321475
[14  2],-0.37135975000000004,-0.6272908084375,-0.37982852500000003,-0.41372419131250004
[14  1],-0.38760475000000005,-0.47749523475,-0.39607352500000004,-0.49255759875000005
[15  2],-0.4549209262500001,-0.46415920125000004,-0.407436,-0.44380500000000006
[16  2],-0.5717598976094063,-0.485503825,-0.30782200000000004,-0.3628525
[16  1],-0.4870368017572216,-0.553219321125,-0.38161592625000007,-0.46798919168125
[15  1],-0.47589022875,-0.56298577,-0.4130540625,-0.467023
[15  3],-0.526803025,-0.5048958965371875,-0.52661938669375,-0.490274725
[15  4],-0.5774892654005626,-0.5193600919565625,-0.48493570124999996,-0.5569644314312501
[14  4],-0.49328496862500004,-0.5685058886875,-0.61520059436875,-0.54276906225
[13  4],-0.411161926125,-0.39546265125,-0.8413147500000002,-0.7784860348638749
[14  3],-0.467796775,-0.5858198524375,-0.5369743211250001,-0.48833198067625005
