,0,1,2,3
[ 2 17],-1.6170304076967665,-1.608556354643228,-1.5982471356418342,-1.5997926973880738
[ 3 17],-1.5313841466158418,-1.6846222171076417,-1.5608153265347915,-1.662529472598698
[ 2 16],-1.7016565145725064,-1.5091569024514648,-1.6563250105317706,-1.5894655712931876
[ 3 16],-1.5082652075983898,-1.713032907833778,-1.5925343402797187,-1.4525730529622352
[ 4 16],-1.4686333875843682,-1.5065239767905785,-1.47134109690835,-1.5673871331917275
[ 4 17],-1.481112801393343,-1.5339115545614292,-1.5704659147557885,-1.458906099385135
[ 4 15],-1.4180367757953736,-1.5298984753950593,-1.463052364715947,-1.3861575937917476
[ 3 15],-1.5852168794198633,-1.5678800073061532,-1.509973354238895,-1.5425189699948294
[ 5 15],-1.2855703528477123,-1.3629202673134033,-1.432106937959832,-1.457186107466599
[ 4 14],-1.431982301783817,-1.3122349463826262,-1.5017224494822698,-1.3287897920061738
[ 5 14],-1.3631825645609206,-1.437350043242366,-1.402075179845426,-1.271957485265491
[ 6 15],-1.4120399630930391,-1.3746976467511018,-1.3888304140123846,-1.4331390125129448
[ 6 16],-1.4192506143792363,-1.402949054294682,-1.37145430912996,-1.3494252773609694
[ 7 16],-1.3476394193779846,-1.4617607045717627,-1.3295921062484082,-1.2988331251815688
[ 7 15],-1.3173712535513995,-1.3207765880545772,-1.3821001163863817,-1.3208596030854765
[ 5 16],-1.3264435849697034,-1.276833139402255,-1.6118308164327504,-1.4743020591704412
[ 6 14],-1.4025336221108644,-1.3154422682910296,-1.4377503914861256,-1.2563478017092646
[ 6 13],-1.3824361819223216,-1.4223990508707518,-1.4000670451585633,-1.3106757002392049
[ 6 12],-1.2162277983233558,-1.4817773147057487,-1.3846840704731378,-1.2501509528118337
[ 6 11],-1.270683093475924,-1.379201594803333,-1.3240066171240563,-1.1765482160716114
[ 6 10],-0.9930790024651461,-1.2396258288239566,-1.1712434838628805,-1.2374947717471203
[6 9],-1.623848258924749,-1.118550736685693,-0.9870084737707057,-1.058905049993032
[ 7 11],-1.1634922533397536,-1.1233397445916857,-1.4402670603905008,-1.2386271225650125
[ 7 10],-1.1858813030063298,-1.4115041145425853,-1.072004862459211,-1.1279027658713316
[7 9],-1.1463444508983567,-1.1391197681191934,-1.1088335312486,-1.1773510341844602
[8 9],-521.8727390687245,-1.1942519475567217,-1.1338069273402744,-1.6626143944258662
[5 9],-1.079434511884638,-1.1071993659844817,-1.1713598872009512,-1.1337238176476276
[4 9],-1.181597015072207,-1.2055523932698373,-1.8931074358397098,-1.1069576827193246
[4 8],-1.1666135571411262,-1.1870252996390505,-1.0925433075179183,-1.1692140750367828
[3 8],-1.0237832021767725,-2.1195679934412954,-1.085404968528392,-1.1930061987818537
[3 7],-1.0936845726159266,-0.9800468085761844,-0.8504017748381203,-1.1595353377027557
[3 6],-1.1480910653533212,-1.077769539769433,-0.9455291031859706,-1.0976189098299907
[2 6],-1.0156929262218304,-1.0397886933510025,-1.1555099743918555,-0.9136810174852984
[1 6],-1.188564566430419,-1.182421595663788,-1.292200555605559,-1.1210277262674218
[2 5],-1.1034473913756095,-1.0856793665886846,-1.2352973541845274,-1.0917547082888188
[3 5],-1.0776885053233511,-1.0526385282834918,-1.0247923939501602,-1.2066219905274174
[3 4],-1.0865270671515534,-1.0780659453321926,-1.0611740957869216,-0.9740885227837748
[3 3],-0.8824545802048385,-1.0732333189258603,-1.5339392944053698,-0.8808965668067127
[4 3],-0.8127188986159685,-1.1333877058026725,-0.9480098464290794,-0.787372472875125
[4 2],-0.7125407977019064,-0.7686304895250926,-0.6815772075518041,-0.649725537
[3 2],-0.7375870339806035,-0.8467118435090452,-0.8227026882704112,-0.8213186308955032
[2 3],-0.5769050238972332,-0.6160960951725648,-0.50310061472275,-0.6883416921218011
[4 4],-1.0857400805021566,-1.2157667122785412,-0.9633848414398051,-1.0070263197782396
[4 5],-1.1536133891828981,-1.3214228197259255,-1.1440466342893554,-1.1005572791343703
[5 5],-1.0091723424942471,-1.013277746189424,-1.1908421227469528,-2.1032830197670593
[5 4],-0.8032533261906001,-1.0067587568192116,-1.1445484739232705,-2.0146619403288333
[5 3],-0.5574748485000001,-0.9255005895441505,-0.9680403205970659,-0.61502310440125
[6 3],-0.60345032936875,-1.349745367545875,-0.6595856556374999,-0.5709582873250001
[6 2],-0.5705491900125,-0.66133864536525,-0.5859230925,-0.739709956869375
[5 2],-0.5857093615784345,-0.7505432228815,-0.5064888595,-0.686649426065125
[5 1],-0.6337126500339892,-0.65935719343875,-0.6183609232019063,-0.6863583336378486
[6 1],-0.8626391556255815,-0.6655513539175001,-0.6054383713196251,-0.5819364756756251
[5 6],-1.0992922079796892,-1.279209363436449,-1.0582269077821838,-1.8145681673187513
[5 7],-1.2454417403470281,-1.2334823737183807,-1.2429622963280367,-1.382256412802852
[4 6],-1.1585097881436224,-1.2048058605495215,-1.1793440503330255,-1.1721831443820332
[4 7],-1.1419033426006684,-1.1471320036993549,-1.0644393299350676,-1.3119107509648342
[2 7],-0.9760997251346064,-1.0031751063728627,-0.9749078033937344,-0.8965034080814281
[1 7],-1.1821902870255825,-1.2467687821236635,-1.2547124366348097,-1.068487358808907
[2 8],-0.9771334578457227,-1.3538158287051478,-1.3382022189938128,-1.2695465931119654
[1 5],-1.2211530724747517,-1.1832389204147076,-1.236922936185887,-1.1868211715815873
[0 5],-1.1536537528297666,-1.1329924813021162,-1.8802100550150957,-1.336463402036412
[0 6],-1.2050749377757826,-1.2486107580860182,-1.8406436206022863,-1.2243219570780393
[1 4],-1.0381583082406352,-1.1025606867319713,-1.1517867680017906,-1.0437687587156266
[2 4],-1.1092331620896876,-1.2453326604145036,-1.138316102314229,-1.0174968382025777
[2 9],-1.3086849314582683,-1.374351672510635,-1.3137615411502288,-2.4029503830841916
[ 2 10],-1.3888022509818891,-1.4495347334103281,-1.408235306720473,-1.6873508406819464
[1 9],-1.2547708372735162,-1.266436194866697,-1.2620872022893819,-1.290400016630902
[5 8],-1.164677392596018,-1.1455206974322854,-1.2108132678673285,-1.4491402316519681
[3 1],-0.6917948842581563,-0.6644496127595207,-0.7767276325341194,-0.7333489163965006
[3 0],-1.902683131043769,-0.6497991956475749,-0.8813599040887781,-0.7358352030180211
[4 0],-1.1449553308211782,-0.7768591026426495,-0.7198224678102918,-0.7610036513978893
[5 0],-0.8490097500000002,-0.6483313854480938,-0.6925407120325887,-0.7987287853830625
[6 0],-1.606822100100355,-0.797025856991875,-0.7194168799741938,-0.65670924825
[7 0],-0.8630702713125,-0.6424864146756251,-0.5965061080118316,-0.7255606279762321
[7 1],-0.6847753875131251,-0.8385543072237238,-0.5785079182217172,-0.7303567215679253
[7 2],-0.8774913038468313,-0.62670678038125,-0.6220206235948751,-0.7007577408593438
[4 1],-0.7782446448840601,-0.6621723876000001,-0.6921995485435198,-0.7412698721638348
[2 2],-0.835436344027388,-1.3091902931109387,-0.8598656610167695,-0.9548888915133353
[2 1],-0.7687521606523608,-0.9047384030130111,-0.7694076165294335,-0.7473581675614956
[2 0],-1.17181143143837,-0.7922504606270632,-0.7830941425319693,-0.8596393149191515
[8 0],-1.3928773456874257,-0.6019496237129031,-0.6436032086812501,-0.8360765770581996
