,0,1,2,3
[0 0],136.10613365293102,134.41146734354658,131.66354206896793,146.83001375244953
[0 1],34.13708855128893,-6.762524654334952,0.6221708308742979,153.05495828883235
[1 0],141.35761272031203,151.39147690785168,137.6570943000823,155.6105407920523
[1 1],35.75482338413148,-1.4225555803655974,60.88820536230671,164.82937393279005
[1 2],47.382178582232925,-6.447353164174016,-6.394259467271145,-6.406329633537943
[1 3],-3.7779338012503834,-6.200206401509938,-6.193409041730762,-6.77658471106422
[1 4],-6.137829804708952,-5.863034120615664,-6.0023639854609945,-5.957966088546345
[2 4],-5.931935083575812,-5.778473315182128,-5.7885466486058865,-5.754753098791032
[3 4],-5.3716595721604685,-5.564942814520933,-5.600709969407406,-5.540170285778923
[3 3],-5.587674238333254,-5.649924651515166,-6.091473374062959,1.4083388733670716
[3 2],173.41873309629122,-5.534512067144787,1.6959241008186376,57.71948199076223
[4 3],48.73601328420442,-5.280043938746907,-5.331612098179798,-5.247528202322979
[4 4],-5.349022698051406,-5.299191009160405,-5.481442809810085,-5.343983357194005
[5 4],-3.7909002243425522,-5.160617796015151,-5.247613767027158,-5.77143821958734
[5 5],-5.273408074882648,-5.24359219423192,-5.22607324290388,-6.205445607997052
[5 3],41.19004878887936,-4.930715190636111,-3.454262848599367,-4.862683730928061
[4 5],-5.3085432302765945,-5.324184526616467,-5.3883303040259385,-5.354391995522231
[3 5],-5.51005953035252,-5.417401761403194,-5.414586421257455,-5.515839539723146
[3 6],-5.311251871155717,-5.280805229031522,-5.333229732738028,-5.31992206599128
[2 5],-5.73345042391868,-5.5946572928107425,-5.572227206829073,-5.610937032657344
[2 6],-5.551935444033026,-5.413935472082781,-5.403128493167081,-5.417136511133051
[4 6],-5.285822653592352,-5.268881946633875,-5.242390991848248,-5.234986145169259
[2 3],11.390801617041326,-5.0846009207862295,-4.957638588086006,-5.1395468592108
[0 3],-6.372738006706584,-6.379381880974611,-7.362056277920063,-6.382205134012308
[0 2],-6.711533011912733,-6.736905472605055,-8.323124077414116,0.2073148311698958
[2 2],-1.4120695548553739,-5.804941339518773,-6.153852947881823,113.8394612847577
[4 2],184.68660627802072,-1.6433221035850027,34.99314552293013,46.60841083664837
[3 1],163.82547512379458,153.90315351487845,160.51134490639882,184.82349122852037
[3 0],161.8850791290207,174.58231666709423,147.083981136329,172.3912266330507
[2 1],75.78072449480064,44.562977959619545,105.3343205161582,174.58227103275016
[2 0],152.1084165913845,163.0758150644142,139.81493852713015,164.85320083373938
[4 1],172.81149591014244,173.06898798685097,173.85517353951167,195.60367497739003
[1 5],-5.80028393660691,-5.672485089216466,-5.7150222538946,-5.717979074761102
[0 5],-5.855711909988175,-5.760843127607816,-6.5444575562703955,-5.829362442996888
[1 6],-5.648381098396527,-5.44487217738104,-5.426529134035185,-5.501045804693422
[0 6],-5.561178460975029,-5.580725564519858,-6.254162904904402,-5.549205743938861
[0 4],-6.133865733850309,-6.0646599571121,-7.166921158855984,-6.052865633337887
