,0,1,2,3
[19 15],-1.6764463866615478,-1.520429559679536,-1.673696234825588,-2.812690038309265
[19 16],-1.164828520321637,-1.299308132499887,-1.1625291832363875,-1.3980849658301986
[18 16],-1.3997771885466745,-1.2608450152641844,-1.8281373398944654,-1.1862604417702864
[18 15],-1.5534694924683181,-1.456079169846237,-1.5847092824761546,-1.5813742777922806
[17 15],-1.5833076092289629,-1.6072633635887128,-1.556081516929787,-1.4959288917991176
[19 17],-0.9599728979628224,-1.0526749237523407,-1.1892003615004716,-1.7500000148718808
[19 18],-1.1105102230220474,-1.748039337134275,-0.9341540714249922,-1.3107829274157574
[18 18],-0.8618383433480877,-1.0699625152628833,-1.6600950959052447,-1.640151355166562
[18 17],-1.636891021366687,-1.1258704482723052,-1.1871943785466974,-0.9917848931942038
[17 17],-1.7499500291330707,-1.3026076973015115,-1.5188265376155556,-1.550206078689737
[17 16],-1.5667206372520799,-1.9048921348741772,-1.8905039940155386,-1.3943974486257409
[16 16],-1.7629361968050885,-1.6013622609464846,-1.8946482593110965,-1.6473407244678722
[16 15],-1.4314378498231626,-1.6329172201508786,-1.5310524353023371,-1.5705114907217834
[16 14],-1.3366354736512611,-1.467291043601208,-1.7011298429290924,-1.2487466418391824
[16 17],-1.5749322928045792,-1.675495828123966,-1.561208133553269,-1.4187013339627654
[16 18],-1.4041690658254102,-1.5908113782055564,-1.5866008503805533,-2.0912808999939956
[15 18],-1.365302820066903,-1.3801216883044283,-1.5348840611236139,-1.562713441953596
[14 18],-1.6164173518233416,-1.4573450655045097,-1.3187889292772423,-1.3385901824305446
[14 19],-1.3819320453347064,-1.295351204626968,-1.0871716932762838,-1.347139142622856
[13 19],-1.104173828728877,-2.128637305711186,-0.8918588136517728,-1.0273499729207776
[14 17],-1.595185313396293,-1.4084707923336406,-1.1855548319989615,-1.445331480596769
[13 17],-1.1089613847547046,-1.2457072016363457,-1.3320324977998435,-1.2061227081578099
[12 17],-1.3361714074827646,-1.3076922612365414,-1.4636201561292959,-1.1622970491229092
[13 16],-1.1641587830701081,-1.4816982820021114,-0.9823698120826624,-1.297321976957728
[13 15],-1.296026307574347,-1.24478488497911,-1.1287003134171782,-1.1074199929179656
[13 14],-1.0421258914811489,-1.0215815044119139,-0.9339750298490087,-0.8444294554917826
[12 14],-0.6814201193166731,-1.104760649483009,-0.7401008470866224,-0.7847368674008447
[12 15],-1.108689268970138,-1.100230259823875,-0.9069936143307729,-0.9540585251627727
[12 13],-0.692840053082612,-0.5063817857742002,-0.7281506865404399,-0.4655398193283873
[13 13],-0.7212587355951576,-0.5225644191581382,-0.5083432551212276,-1.3224961220772218
[14 13],-1.0358353236190092,-1.2209561793977424,-0.7184215646776807,-1.7805584065638904
[14 14],-1.0889829991721687,-1.5803151480297994,-0.9973738388989641,-1.604219439987587
