,0,1,2,3
[7 5],-0.9143763403110232,-1.0933208056477794,-1.2779285944669039,-18.190481003378
[7 6],-1.6132152454496271,-0.8938537929222673,-0.5136814027472725,-1.2495240413345325
[7 7],-1.267531935052458,-14.40551748436441,-0.4331723782639363,-0.23363575134023903
[8 7],-3.0736377728248803,-100.13425218002754,-7.83351815659286,-0.23444868656182288
[9 7],-0.48560105336434545,0.0,-0.23587488870495238,-1.1467144922398127
[8 6],-0.7219180739458919,-63.079468157438605,-0.6684487146481496,-1.149781589179215
[9 6],-0.47455655645508676,-1.0489262574582765,-0.6041257985167231,-0.46432673147395953
[10  6],-2.4714897667184257,-0.2449345225501192,-0.24569401803959154,-0.26397864783218983
[11  6],-1.17450196845902,0.0,0.0,0.0
[11  5],-0.232587397311899,-0.8691882713608782,-0.5025910839309643,-1.2879156584963884
[11  4],-0.44443300905790833,-0.2687623498027094,-0.23488728721615207,0.0
[11  3],-0.47467380095974804,-0.45947799443134224,0.0,0.0
[11  2],-0.23446177120627712,-0.23841727056410295,-0.4842970664920403,-0.44909385605426233
[12  2],-0.4573812181185087,-0.35009022883792884,-0.4424625441634575,-0.4454492513584964
[12  1],-0.23274617171584008,-0.7045676152636644,0.0,-0.48733798351273555
[12  0],-0.9320659607035455,-0.23771582354681503,-0.23288802055410532,-0.23261365594317332
[11  0],-0.466808316166836,-0.29264616871374743,-0.23313687816509712,-0.6137496382646002
[10  0],-0.4555246590604611,-0.4674948377743428,0.0,-0.5768912241784205
[10  1],-0.5277288848823735,-0.23804069519411,-0.23265896697033978,-0.6527529765018795
[11  1],-0.3379757345855219,-0.2358978442215387,-0.4469607337042038,-0.2557570814889013
[10  2],-0.5078456362024051,-0.23765058335385222,0.0,-0.2336432095875779
[9 1],0.0,-0.232735029772526,0.0,-0.23310258471075998
[9 2],-0.23286847328513316,-0.2404695972999983,-0.23540996701691524,-0.23546083251169583
[10  4],-0.24823202017190618,-0.23431137625597698,-0.46403707564443203,-0.25319453938754416
[9 4],-0.44535037043205006,-0.4607225358994101,-0.2397269535738752,-0.23355748446590677
