,0,1,2,3
[ 2 17],750.4334627787326,903.9623717531272,731.9172511542367,834.0089395868758
[ 3 17],509.63771761231874,967.5186855903784,591.6673974236116,648.4559576833401
[ 4 17],100.54574674233713,879.545429357573,159.0653520448975,237.05698493419933
[ 5 17],68.63554138061299,633.5221755798335,85.08487762424862,179.11639726132256
[ 5 18],429.39720083207726,1106.735705999994,565.9088027540132,604.114390780008
[ 4 18],663.4796077259799,1073.43704556586,770.5816245699576,835.3817020019142
[ 3 18],881.7818403847368,1024.9295212444815,840.9365355196968,950.2228095155706
[ 3 19],900.7133629999804,978.9831885925934,900.0510837544002,1081.7051515540836
[ 2 19],481.0177246354374,297.8132503510643,201.6340670327452,1010.9815730769537
[ 1 19],39.595226835437124,86.79205143707192,16.215379604910407,442.4990648234239
[ 2 18],791.8910770208067,922.0568774513603,762.8310066355043,962.8737308912202
[ 1 18],232.47417221402617,182.7180547136908,83.72359850165526,846.9067554974438
[ 0 19],12.257684904815166,0.3951254360678402,3.2118713404747963,50.465574883435636
[ 0 18],29.729799137149442,15.7907980885938,40.208138600934156,173.9322686995514
[ 0 17],1.6199592837832528,25.676164436452726,-4.781838010461986,181.3193335724131
[ 0 16],-3.4288547264734084,5.448703007453291,-2.8603077143489264,4.285435174987484
[ 1 16],-0.5784225472644595,251.8557804298317,0.9080770951653551,4.383329503066741
[ 1 15],-3.1820210391928674,1.9535207016590042,-3.6426713811224682,-3.113663623503178
[ 1 17],162.5311412149997,255.8110260440513,101.16377510878527,805.6560660274773
[ 1 14],-3.193824926823027,-3.2366392179095937,-3.487413773819208,-3.1320212108765237
[ 0 15],-3.367071012967036,-3.0939505489825154,-4.6055453928049985,-3.104451527846681
[ 2 14],-3.3769390095018346,-3.0201076148504558,-3.0042602081985046,-2.934031718416404
[ 1 13],-3.4448168554736758,-3.2042748384048076,-3.3100360616328124,-3.337604444117156
[ 2 13],-3.062732918961012,-2.9132692828349254,-3.1011207830852907,-4.229987000271732
[ 0 14],-3.2740033495237175,-3.490006272017677,-4.060249598111981,-3.3588868986177554
[ 0 13],-3.2230999762914956,-3.5736930222377192,-3.7363923172882125,-3.2896074042281023
[ 0 12],-2.8427498775222406,-3.5453309292053765,-3.9413613269522916,-3.1743340936405082
[ 0 11],-2.5058597643303835,-3.0467498892618474,-3.058684405057291,-2.17897216441943
[ 1 11],-2.7811939338830403,-2.6319153946358713,-2.6884382632890156,-2.4679753906054316
[ 2 11],-2.426534889269282,-2.6862712028339595,-2.823400918411559,-2.8546857985264897
[ 2 12],-2.8865155103527607,-2.738669630513768,-3.163571196195664,-3.3304317439343065
[ 1 12],-2.7628909452942403,-3.4494191068461912,-3.3995148806772395,-3.0948205688150097
[ 1 10],-2.303163760779275,-2.485513783354285,-2.528978771901055,-2.951011254058713
[1 9],-2.2189418984767073,-2.0403777234182243,-2.059601594613171,-2.6371972586132637
[1 8],-2.1186529477099145,-2.200508838942184,-2.899933166433785,-2.465487121183079
[0 8],-2.8703922611795556,-2.4553941741618086,-2.942251441804011,-2.266566277188148
[2 8],-2.4178892016368674,-1.804430516691223,-2.3164845349609156,-2.109501532299087
