,0,1,2,3
[19 15],-1.7910681281874234,-2.019367756263676,-2.072354119653723,-1.9396737802079045
[19 16],-1.5269400631585075,-1.9694896521194991,-1.7397591057108104,-2.0552975770742243
[19 14],-1.0537863230001012,-1.3020671125245011,-1.617684446617847,-1.7058814905646797
[18 14],-1.1641188436950343,-1.5716525400549641,-1.2740907998919735,-1.1885639784087856
[18 15],-1.398679753608285,-1.546116870694496,-2.0828129059739027,-1.7442006514584496
[18 13],-1.1410547873140917,-0.9319112348318425,-1.16123267241307,-1.1466628770198544
[18 12],-0.5696454956405113,-0.9924769626837917,-0.5490066778745699,-0.5385443737895206
[19 13],-1.0335166103849012,-1.2191630281111372,-0.9772143114592828,-1.306795980846669
[19 12],-0.5331411227911969,-1.0101008068430606,-0.5216587146090348,-1.288976262460699
[19 11],-0.8009170672412955,-0.6187134797430183,-0.4696912365393545,-1.3486601107937466
[19 10],-0.3861488892434442,-0.6920989364961989,-0.4965945036007669,-0.4463391664017762
[18 10],-0.47053770720876176,-0.47235407312514904,-0.5114077283128426,-0.3201048668687631
[19  9],-0.45779039032867846,-0.3544133248490124,-0.2469748666602632,-0.8950660206638853
[18  9],-0.4748027281795874,-0.2578506432636196,-0.2446722202722549,-0.24077567399635
[18  8],-0.3139267358261027,-0.2394631655551854,-0.24618498333643163,-0.6028433374309883
[19  8],-0.5247815080645907,-0.5888338445442299,-0.23649400436645562,-0.4374989596301674
[19  7],-0.3836015380820211,-0.32105282503173815,-0.24209459380876472,-0.4830001102680909
[19  6],-0.34657290883970854,0.0,-0.2326378904154504,-0.49754655803863373
[19  5],0.0,-0.23260359753680673,0.0,-0.4325840505959799
[18  6],0.0,0.0,-0.4490201628108523,0.0
[17  6],-0.23282987936148677,-0.2325677358779176,-0.2326490484220068,-0.23280360238673545
[17  7],-0.44206200959448183,0.0,-0.45721451520772854,-0.4683122741718757
[18  7],0.0,-0.2789382394208784,-0.4431123531097071,-0.37531006285281154
[16  6],-0.23263626339905794,-0.45094461811177394,-0.2370744003603641,0.0
[16  7],-0.232602670137463,-0.4442507789911549,-0.2328379452816462,-0.4614973951012779
[15  7],-0.2941986504801837,0.0,-0.2330490268099057,-0.2340690268079584
[14  7],0.0,0.0,0.0,-0.2334193452805362
