,0,1,2,3
[0 0],-2.537721327742137,-1.9320985915769058,-4.688494641037022,-2.0404647859679
[1 0],-2.1309783719718274,-1.417216185877056,-1.9816140975898904,-1.3926811404878676
[2 0],-1.4398714514327784,-1.2200332592269865,-1.3221987311500227,-1.2182113794596745
[0 1],-1.6805741602030015,-1.6219073392659058,-2.533270554636096,-1.7200681415876737
[1 1],-1.4648806078135874,-1.4227627009517694,-1.5853383367401057,-1.3761496155641313
[2 1],-1.2602639833548037,-1.3248439148200357,-1.275659607442799,-1.2131153330634024
[3 1],-0.9885484241351258,-1.205674317256584,-1.0605976659998027,-1.1839975983008533
[3 0],-1.9152888495031504,-0.8364429369184212,-1.0848274598392849,-1.2637653599001286
[4 0],-1.4657655637699953,-1.1998419379262475,-1.0515197727478292,-1.0268704503975743
[4 1],-1.0852399455630888,-1.167216919693863,-1.141345747992572,-1.1756705288925786
[1 2],-1.017185730215675,-1.308121556407518,-1.1971972946061755,-1.1942760139863424
[0 2],-1.3572072965618611,-1.0967399896739805,-2.516119589304653,-1.1430684993080253
[0 3],-1.2101554568939326,-1.2440099983637787,-1.6902377950621763,-1.152366043302018
[1 3],-0.8192661128097328,-0.9216432095806179,-1.3178549846368546,-1.3480209099673521
[2 2],-1.2301551232854682,-2.008430474615158,-1.0303448337378975,-1.0383805623348945
[3 2],-1.0349595568852072,-1.237294050841731,-0.973098757053974,-1.341653462935838
[2 3],-1.2900606753380328,-0.9304048955492931,-0.7945036685236925,-1.0425832382485687
[2 4],-1.6466169892499518,-1.297785818819712,-0.9509054169921313,-0.9657079330988905
[2 5],-1.1539469296591778,-1.1799277801928014,-1.0832714876880045,-1.1025069668214345
[1 5],-0.9451173327175737,-0.9281114782556693,-0.9292836554175051,-1.108361260991712
[1 4],-0.7815372257107176,-0.9875055219941598,-0.8263316673777159,-1.2092569302219667
[0 4],-1.3939100430307048,-0.7281028668888522,-1.4595799905732438,-0.8446653471916117
[0 5],-0.9839014169247448,-0.8779205072492139,-2.052278862295301,-0.6905915755080383
[0 6],-0.9043066101421221,-0.9208642844335051,-1.46695470595873,-1.1021604659548203
[1 6],-1.0508242526001643,-0.8077290976071276,-1.2814108123424595,-0.9030494007790687
[0 7],-0.7051405356887158,-0.43385502379455515,-1.3199125376980232,-0.8901103117634842
[1 7],-0.921438267736745,-0.7160828915704206,-0.7440583057547588,-0.7002255915173635
[2 6],-1.13225060708578,-0.6913404332928095,-0.9762345566233782,-0.7478978394106283
[2 7],-0.7130292984555839,-0.8678176789173284,-0.5282225209332193,-0.739511218957727
