,0,1,2,3
[ 2 17],-0.4864261050662876,-1.2387467030169,-0.4034106013416868,-0.5074872911791456
[ 2 18],-0.9367538488927124,-0.7761093255951681,-0.7382817219716113,-1.237635252502914
[ 2 16],-0.9033052705244221,-0.2785681191407739,-1.2172567521454873,-0.4599433223807918
[ 2 19],-0.7235642812565748,-0.44884592625301994,-0.6339917944716744,-0.5975633449044301
[ 1 19],-0.6924637796610711,-0.46949081242702045,-0.3438246225892257,-0.32078480628282163
[ 0 19],-0.8465675134980868,0.0,0.0,0.0
[ 0 18],-0.4918454297864697,-0.3727975451046836,-1.8777296987266328,-0.4473564032546514
[ 0 17],-0.7884395549233444,-0.23602178365138662,-2.5295768265024408,-0.9169101670785801
[ 0 16],-0.8226107815130714,-0.9608326526390417,-1.418105421543507,-0.9280590965437866
[ 1 18],-0.5013758245674408,-0.7050342981729568,-0.4605385711005651,-0.7572711394777839
[ 1 17],-0.7053492710567212,-0.47654153804203964,-0.9803570951252462,-0.7669026869344783
[ 1 16],-1.088956517744031,-0.9302574791132344,-0.9463173767537235,-0.6918048570703349
[ 1 15],-0.9415698460118046,-0.6989868380413502,-1.5819755739398762,-0.7179537851502646
[ 1 14],-1.2475016963635361,-0.9708953594239305,-0.8303596682988706,-0.6915878173104457
[ 1 13],-1.2612885710493666,-0.9775777782714135,-1.2218772876394182,-1.3992770165302988
[ 2 14],-0.5261786155164225,-0.503547152177581,-0.5835133829179219,-0.47790421476157324
[ 2 13],-0.5450712261935106,-0.27651049669135963,-1.5205490953182867,-1.3033377136488693
[ 2 12],-1.4903051434874213,-0.6982349616001876,-0.8644715933123593,-1.9034657777477448
[ 2 11],-1.2703408227702178,-1.2818186873388797,-1.480139628448097,-1.9028172307514923
[ 2 10],-1.375199889262233,-1.4158117228184095,-1.6578995993850272,-1.7729463793474038
[ 1 10],-1.525426903039187,-1.3983395775390808,-0.8905284927852705,-1.7999449787371053
[1 9],-1.6624231000096847,-1.2972035758468983,-1.1169131334420064,-1.7509042652782174
[2 9],-1.541952731828373,-1.4632203769617493,-1.7049865929344477,-2.4433207573701146
[ 1 11],-1.487414255928748,-1.1478684332266829,-1.5088428316331042,-1.1971753148648314
[ 0 11],-1.091454010032815,-1.005868872794272,-2.013873679775734,-1.1522085087630778
[ 0 12],-1.2402191198906898,-0.46265243125267624,-1.3071248005443565,-0.7304260059270141
[ 0 13],-0.5765314610803504,-0.7235142080148894,-1.6858847187885297,-0.7423847416904965
[ 1 12],-1.085303277480391,-0.9950525645351513,-1.0332368705656971,-1.2950129671310018
[ 0 10],-1.2422840196235543,-0.8711257546568505,-3.4772184329331792,-1.0138670275087198
[1 8],-1.309707769587121,-1.431868541116831,-1.352092662814374,-1.5739628422728937
[1 7],-1.227077655624942,-1.2676352647930875,-1.9717743340611298,-1.2654929748369892
[2 8],-1.320537887147297,-1.9029681195232802,-1.3254306751864187,-1.368193763569722
[3 8],-1.1392884839823367,-1.6455493917509938,-1.299234963022058,-1.2670293830125807
[2 7],-0.7759339056510693,-1.444975497161745,-0.8652827645525729,-1.3301329836826357
[3 7],-0.7141537022744606,-1.454149974127749,-0.9901801584478379,-0.7361552848630042
[3 6],-1.2191929154176118,-0.4742198568295864,-0.7326958898212517,-0.46557838211635333
[3 5],-0.8449042765956875,-0.8808878666602176,-0.6632769638417805,-0.7089565576586159
[2 5],-0.35081960794104206,-0.6980159203776055,-1.0262283158726266,-0.47598448535676197
[1 5],-0.92371816797847,-0.9876881787173913,-0.47182073896238613,-0.8869703093386763
[2 6],-0.5386508920079306,-0.7651414895507226,-0.9772644593687481,-0.7015442452898872
[1 6],-0.7858800135185992,-1.6928698637439143,-0.810144142464671,-0.6926733631545231
[0 6],-0.813114061162555,-1.6288548064876092,-0.8587658741860342,-0.7782494895323836
[0 5],-0.24497664947524625,-0.5698510939373251,-0.4606119094236966,-0.9127194909767146
[2 4],-1.2368162324474559,-0.49313332663180176,0.0,-0.2677443152715793
[2 3],-0.2977849485323607,-0.47372120690990305,-0.4881573479555331,-0.5329830233268502
[0 4],-0.4991957268368034,-0.5240716574025488,-0.43895125700897025,-0.4634509175161693
[1 4],-0.7427539224303019,-0.5063820957901047,-0.7740730743035558,-0.6306190770106632
[1 3],-0.23478684100577682,-0.9942262984907508,-0.2998617504706733,-0.46973742066344537
[1 2],-0.2445926196226463,-0.367750329778164,0.0,-0.23646814211539777
[2 2],-0.5485384913906194,-1.2198706559123766,-0.2394177931849084,-0.7285918865633861
[1 1],-0.29754158970720485,-0.30961768797355343,0.0,-0.25367126249587085
[2 1],-0.24682902848888627,-0.6000926509355958,-0.26959870613310677,-0.23351113806330678
[1 0],0.0,-0.27648208214492537,0.0,-0.3465641924687805
[2 0],-0.4325687587171589,-0.23257676967922603,-0.25759478682260756,-0.3675434620553168
[3 2],-0.44404144038419546,-0.693718964037463,-1.2459125042995123,-0.48181619826724326
[3 1],-0.4599556222742798,-0.7345727443217643,-0.23310134869608487,-0.2362255721438703
[3 0],-0.4693744948338894,-0.6841701729731458,-0.3094997733715307,-0.26402536298606577
[4 2],-0.4921508861207345,-0.4711614552512573,-0.47675022682610446,-0.29797370823862057
[3 3],-0.9261365714316764,-0.3169927296009025,0.0,-0.6503598181198621
[4 3],-0.4893624902211079,-0.45363732315405175,-0.23827671064859818,-0.6830882934845416
[4 4],-0.47876653880955117,-0.7096602892590119,-0.5116674696095354,-0.5216421239343249
[4 5],-0.6978528083660878,-0.719261335317972,-0.6795486049689075,-0.6132667412925028
[5 2],-0.7043529521398141,0.0,-0.23441610328972942,-0.5135517767213417
[5 1],-1.0311661198761919,-0.23481612208522998,-0.2356199477502673,-0.23329175806549124
[5 0],-2.465062725983817,-0.23297630209733,-0.7184682476262164,-1.1108819134112045
[6 1],0.0,-0.2331617919588331,-0.4470142537013187,0.0
[6 2],-0.23950791654426024,0.0,-0.5467585535084751,0.0
[4 1],-0.23792973289520572,-0.4746870050888185,-0.28881060063855774,-0.24909120620254185
[4 0],-1.4639456293974453,-0.2419819875354487,-0.5061427831426929,-0.34872586696878494
[6 0],-0.9946822784170821,-0.23290222141653483,-1.0708672197009181,-0.49647544978306946
[7 0],-0.5269233244164768,-0.32819738810291316,-0.5920729839736901,0.0
[3 4],-0.5056551310764354,-0.6944703820958383,-0.38068899929982913,-0.5040366427550682
[ 0 14],-0.6327115028416149,-0.9830421047391016,-1.3770625594236237,-1.1195884815516481
[ 0 15],-1.2952122676282465,-1.0443821287953083,-1.4242899958128084,-1.1738928060798761
[ 2 15],-0.6836458184878362,-0.7227549466418809,-0.7719360905106453,-0.9072649086690857
[ 3 15],-0.5015913038572708,-0.5366720326043378,-0.913074167751814,-0.4474675607652866
[ 3 16],-0.24440857688584072,-0.6544774426728772,-0.9975105002978344,-0.2422543268831811
[ 3 14],0.0,-0.7036027545518958,-0.29577423188953195,-0.23257875747473727
[ 4 14],-0.6162134840053193,-0.2329008055151589,-0.23580431183323097,-0.23259431135918818
[ 5 14],-0.2330765518238917,-0.44701762842574866,-0.542822852211439,-0.24522268027682104
[ 5 15],-0.4537073132773744,-0.24689449659012536,-0.2479915929310198,-0.46180689437664635
[ 4 15],-0.23440845774494165,0.0,-0.45393379683096863,-0.24072986305637145
[ 3 17],-0.4765546455277845,-0.8543930603228107,-0.5043036203882759,-0.6903995510665454
[ 4 17],-0.49914848523204525,-0.7426065016526111,-0.46210829467682235,-0.4470476603995787
[ 3 18],-0.9018849266356076,-0.7005991622008091,-0.9566249018749964,-0.8847052831187634
[ 3 19],-0.7454140971745373,-0.4793433093954361,-0.7807788968006805,-0.2333461621331583
