,0,1,2,3
[0 0],80.46590961779046,126.73440122184033,60.689757491230345,82.09962036678724
[1 0],3.9006748245379153,113.92161934253862,3.980828098110772,11.019816782807657
[0 1],82.13924597410943,39.64892856543727,93.44962881636413,135.9866996158376
[0 2],4.882982568751229,-11.174829725276915,-13.169348343497244,61.22753608577384
[1 2],3.9855911674086535,-9.502935045392125,-3.681242352907543,90.63310178039788
[1 3],-7.607794002355664,-10.786128592648602,-10.930195763214801,-11.368189756968693
[2 2],13.905865918981368,10.054960250329403,2.1208017596969313,111.22892124315256
[2 1],75.04842318343279,62.555697294415864,81.6299454107726,158.46305045149634
[3 2],35.31185466790395,3.4912865860202142,8.049534009734103,130.04888954543802
[3 1],96.31806634820707,91.30730220639784,101.07775851543666,168.909324416006
[1 1],79.48413105536054,57.49383379775514,69.46443881057769,145.57286120383287
[1 4],-10.431738174021065,-10.406817390216537,-10.488632570411218,-6.681900442401815
[0 4],-10.47252525692505,-10.242821878095139,-12.017144472738712,-8.378152703916514
[0 3],-11.3982782003398,-10.049226748816801,-12.430412158906472,-11.00621196318815
[0 5],-9.748932996144308,-10.271489347937157,-11.136693381284616,-10.165059359509314
[1 5],-10.319755380331973,-9.928055725980157,-9.96445834079609,-9.92911570912175
[1 6],-9.596298210195663,-9.61162275635974,-9.925607117147191,-9.628923975046428
[1 7],-9.474129058435379,-9.755740415334609,-9.45128986637825,-9.482414644205916
[1 8],-9.37927506753855,-9.320594150329704,-9.778003193919382,-9.505972119457722
[2 8],-9.151721907938047,-9.373965977830906,-9.426339953759838,-9.331559615381003
[1 9],-9.185057497976352,-8.966526220950861,-8.955947059025643,-9.163404884890243
[ 1 10],-8.707926928826028,-8.611629197770167,-8.961998660063964,-8.929830008226212
[ 1 11],-8.436152700185811,-8.62142238163945,-8.412296082631581,-8.337725080762953
[ 1 12],-8.446861887469897,-8.341431993170227,-8.540523517021526,-8.57624684091625
[ 0 12],-8.274010989198462,-8.216382446985975,-10.452801867234475,-8.093112834740507
[ 0 11],-8.54789699875297,-8.3232719538198,-8.290619999902976,-8.392685457921104
[ 0 13],-8.438848084896891,-8.034676387258727,-8.37808571371208,-8.239670146246683
[ 1 13],-8.331539769938072,-8.25163423038217,-8.350653737608226,-8.137061509551996
[ 0 14],-8.067043205838647,-7.948409958254431,-8.659057240140863,-7.912991779907977
[ 2 12],-8.136222922864869,-8.172259289799703,-8.206693274698939,-9.01750210869326
[ 2 11],-8.561492994547155,-8.006272605919506,-8.176796933804683,-8.946432760631728
[ 2 13],-8.12561781595873,-7.936050498193457,-8.056479316647758,-8.332314851676298
[ 2 14],-8.13427200842857,-7.950797535937262,-8.193831138578494,-8.052281938428912
[ 2 15],-8.177393207225297,-8.102111132899264,-8.093656298217178,-8.101908829399175
[ 1 15],-7.975930470770455,-7.836009988260575,-7.689920263023563,-8.5207063030417
[ 3 15],-8.473159048896058,-7.635172145544957,-7.685464577911613,-7.546931478685607
[ 3 16],-7.576280033259708,-7.637443891635644,-7.958645269182401,-7.618773614047254
[ 2 16],-8.140181555696453,-7.903004567735512,-7.8389154643078,-7.794661846305699
[ 3 17],-7.705255234640565,-7.746695075030763,-7.481972255963571,-7.3729865128106535
[ 4 17],-7.468957992603839,-7.33850169036483,-7.350346527802009,-7.480924232366096
[ 4 18],-7.40756008271224,-7.24273991953281,-7.452364877432834,-7.438880737134638
[ 3 18],-7.596292437881387,-7.667682262116789,-7.5899865907105015,-7.572748444798926
[ 2 17],-7.7626630546682875,-7.750354825084814,-7.552521954132309,-7.764411446812201
[ 1 16],-7.883897045569339,-7.771553137249718,-7.760546849604696,-7.787103569944613
[ 1 17],-7.6567466060158695,-7.531898788789904,-7.697192204790933,-7.635512597286163
[ 0 17],-7.7641098580543835,-7.511882996183199,-9.421351927394978,-7.324291650011932
[ 1 18],-7.522997949296133,-7.81999524257515,-7.640403118932529,-7.433881002947648
